,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
0,1,5,1,6,5,15,9,11,3,2,2,2,8,7,4,2,3,1,1,7,1,19,7,7,1,9,3,3,20,1,7,7,4
1,1,5,0,6,5,15,9,11,3,1,1,2,8,6,4,1,3,1,2,7,2,19,7,7,1,9,3,3,20,1,7,7,4
2,1,5,0,6,5,15,8,11,3,1,1,1,7,6,4,1,3,1,2,8,2,19,7,7,1,9,2,3,20,1,7,7,4
3,1,5,0,6,5,15,8,11,3,1,1,1,7,6,4,1,3,1,2,9,3,19,7,6,1,9,2,3,20,1,7,7,4
4,1,5,1,6,5,15,8,11,3,2,1,0,7,6,4,1,3,1,2,10,2,19,7,6,1,8,2,3,20,1,7,7,4
5,1,4,1,6,5,14,8,11,3,2,1,0,7,6,4,2,3,1,2,10,2,19,7,6,1,8,2,2,20,0,7,7,4
6,0,4,0,6,5,14,7,11,3,2,1,0,8,6,4,1,3,1,2,10,2,19,7,5,0,8,2,2,20,1,7,7,4
7,0,5,0,6,5,14,7,11,3,2,1,1,8,6,4,1,3,1,2,10,2,19,7,5,0,8,2,2,20,1,7,7,4
8,0,5,0,6,5,14,8,11,3,2,1,1,8,6,4,1,2,1,2,10,2,19,7,5,0,8,2,2,20,1,7,7,4
9,0,5,0,6,5,14,8,11,3,2,1,1,8,6,4,0,2,1,2,10,2,19,7,5,0,8,3,2,20,1,7,7,4
10,0,5,0,6,5,14,8,11,3,2,1,1,8,6,4,0,2,1,2,10,2,19,7,5,0,8,3,2,20,1,7,7,4
11,0,5,1,6,5,14,8,11,3,1,1,1,8,6,4,0,2,1,3,10,2,19,7,5,0,8,2,2,20,1,7,7,4
12,0,5,1,6,5,14,8,11,3,1,1,1,8,6,4,0,2,1,3,10,2,19,7,5,0,7,2,2,20,1,7,7,4
13,0,5,1,5,5,14,8,11,3,2,1,1,8,6,4,0,3,1,3,10,2,19,7,5,0,7,2,2,20,1,7,7,4
