,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
0,6,4,3,2,0,13,5,6,6,2,2,4,0,6,4,2,5,2,3,5,2,7,7,8,4,8,4,6,18,3,4,3,4
1,6,4,4,2,0,13,5,6,6,3,3,4,0,7,4,3,5,2,2,5,1,7,7,8,4,8,4,6,18,3,4,3,4
2,6,4,4,2,0,13,6,6,6,3,3,5,1,7,4,3,5,2,2,4,1,7,7,8,4,8,5,6,18,3,4,3,4
3,6,4,4,2,0,13,6,6,6,3,3,5,1,7,4,3,5,2,2,3,0,7,7,9,4,8,5,6,18,3,4,3,4
4,6,4,3,2,0,13,6,6,6,2,3,6,1,7,4,3,5,2,2,2,1,7,7,9,4,9,5,6,18,3,4,3,4
5,6,5,3,2,0,14,6,6,6,2,3,6,1,7,4,2,5,2,2,2,1,7,7,9,4,9,5,7,18,4,4,3,4
6,7,5,4,2,0,14,7,6,6,2,3,6,0,7,4,3,5,2,2,2,1,7,7,10,5,9,5,7,18,3,4,3,4
7,7,4,4,2,0,14,7,6,6,2,3,5,0,7,4,3,5,2,2,2,1,7,7,10,5,9,5,7,18,3,4,3,4
8,7,4,4,2,0,14,6,6,6,2,3,5,0,7,4,3,6,2,2,2,1,7,7,10,5,9,5,7,18,3,4,3,4
9,7,4,4,2,0,14,6,6,6,2,3,5,0,7,4,4,6,2,2,2,1,7,7,10,5,9,4,7,18,3,4,3,4
10,7,4,4,2,0,14,6,6,6,2,3,5,0,7,4,4,6,2,2,2,1,7,7,10,5,9,4,7,18,3,4,3,4
11,7,4,3,2,0,14,6,6,6,3,3,5,0,7,4,4,6,2,1,2,1,7,7,10,5,9,5,7,18,3,4,3,4
12,7,4,3,2,0,14,6,6,6,3,3,5,0,7,4,4,6,2,1,2,1,7,7,10,5,10,5,7,18,3,4,3,4
13,7,4,3,3,0,14,6,6,6,2,3,5,0,7,4,4,5,2,1,2,1,7,7,10,5,10,5,7,18,3,4,3,4
14,7,4,4,3,0,14,6,6,6,2,3,5,0,7,4,4,5,2,1,2,1,7,7,10,5,10,5,7,19,3,4,3,4
15,7,4,4,3,0,14,6,6,6,2,3,5,0,7,4,3,5,2,2,2,1,6,7,9,5,10,5,7,19,3,4,3,4
16,7,3,4,2,0,14,6,6,6,2,3,5,0,6,4,3,5,2,2,2,1,6,7,9,5,10,5,7,19,3,4,3,4
17,7,4,4,2,0,15,7,6,6,2,3,5,0,6,4,4,5,2,2,2,1,6,7,9,5,10,4,7,19,3,4,3,4
18,7,4,4,2,0,14,7,6,6,2,3,5,0,6,4,4,5,2,2,2,1,6,7,9,5,10,4,7,19,3,4,3,4
19,7,4,3,2,0,14,7,6,6,2,3,5,0,6,4,3,5,2,2,2,1,6,7,9,5,10,4,7,19,3,4,3,4
20,7,4,4,2,0,14,6,6,6,2,3,5,0,7,4,4,5,2,2,3,1,6,7,9,5,10,4,7,19,3,4,3,4
21,7,4,4,2,0,15,6,6,6,2,3,5,0,7,4,4,5,2,2,3,1,6,7,8,5,10,4,7,19,3,4,3,4
22,7,5,4,2,0,15,6,6,6,2,3,5,0,7,4,4,5,2,2,3,1,6,7,8,5,10,4,7,19,3,4,3,4
23,7,5,4,2,0,15,7,6,6,3,3,5,0,8,4,4,5,2,2,3,1,6,7,8,5,10,4,7,19,3,4,3,4
