GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_LtG,Dem_2018_LtG,Rep_2018_LtG,Total_2017_SenSp,Dem_2017_SenSp,Rep_2017_SenSp,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
01133000007,2,01133000007,1087,121,963,1360,103,1251,1355,141,1214,941,127,812,935,125,810,935,102,833,683,92,586,1239,114,1112,1216,148,1065,2183,2123,2,6,5,53,0,1,4,9,0,0,2773,2685,9,9,9,65,0,0,0,2012,1959,0,9,7,36,0,1,5,6,0,0,0,2476,2403,0,13,12,45,0,1,12,8,0,0,52,2672,2607,33,13,4,21,1,0,0,2046,2003,18,8,3,16,1,0,0,1968,1880,17,4,2,7,3,0,55,2450,2322,28,16,3,64,3,1968,1880,17,7,2,51,3
01133000002,2,01133000002,2589,297,2268,3299,299,2958,3270,393,2871,2160,299,1854,2151,337,1811,2144,235,1909,1564,244,1296,3086,279,2722,3005,378,2626,5129,4909,66,69,6,70,1,69,3,0,4,0,7058,6353,473,152,6,76,1,0,0,4902,4674,44,107,8,49,2,107,3,0,2,15,0,6920,6176,502,178,10,66,2,151,5,0,2,0,87,7849,7156,453,73,54,118,32,0,0,6073,5638,270,42,33,93,19,0,0,5899,5248,327,52,22,25,2,4,219,7603,6574,595,110,53,254,4,5899,5248,327,68,36,213,4
01133000004,2,01133000004,476,59,415,613,52,552,616,76,539,416,60,354,417,61,356,410,47,363,274,57,215,528,48,467,528,73,455,1142,1103,14,0,0,31,0,0,0,30,0,0,1315,1264,19,2,0,31,0,0,0,978,925,9,0,18,28,0,0,18,26,0,0,0,1088,1031,10,1,20,28,0,0,20,26,0,0,3,1392,1350,17,5,5,11,7,0,0,1083,1055,10,5,3,8,4,0,0,1063,991,17,5,1,10,1,3,35,1329,1240,22,16,9,41,1,1063,991,17,9,3,37,1
01133000003,2,01133000003,651,61,586,803,58,738,795,88,706,561,68,489,558,61,496,561,54,507,407,61,345,789,49,719,755,76,679,1559,1549,1,0,0,7,0,0,0,3,0,0,1982,1922,31,22,0,7,1,0,0,1607,1596,1,0,1,5,1,0,1,2,1,0,0,1986,1944,21,13,1,5,1,0,1,2,1,0,16,1870,1805,23,18,5,18,1,0,0,1466,1426,16,5,4,14,1,0,0,1372,1310,22,6,1,2,0,4,27,1730,1641,32,10,5,33,0,1372,1310,22,6,4,21,0
01063000202,4,01063000202,277,234,43,319,261,58,318,263,55,263,223,40,261,225,36,261,221,40,231,200,31,298,250,48,293,239,54,440,25,0,417,0,0,0,417,0,0,0,0,496,30,0,466,2,0,0,0,0,294,33,1,260,0,0,0,260,0,0,0,0,0,344,39,1,304,1,0,0,304,0,0,0,0,1,605,140,0,465,0,0,0,0,0,461,117,0,344,0,0,0,0,0,339,73,3,253,1,0,0,0,9,407,84,5,316,2,6,1,339,73,3,259,2,6,1
01057001101,2,01057001101,407,78,327,498,66,429,502,88,414,417,118,298,401,115,285,393,84,307,232,65,164,452,70,376,442,86,356,664,629,0,19,0,8,0,19,0,0,0,0,839,794,0,34,1,8,0,0,0,634,588,0,44,0,4,0,44,0,0,0,0,0,755,698,0,50,1,5,0,50,0,0,0,0,8,1031,945,6,68,4,8,0,0,0,775,705,5,57,2,6,0,0,0,710,627,19,35,4,3,0,0,22,935,814,45,50,5,26,2,710,627,19,41,5,18,1
01057000101,2,01057000101,2388,793,1576,2662,744,1893,2655,815,1835,2474,974,1495,2424,957,1461,2421,834,1587,1522,590,916,2637,725,1846,2594,749,1836,4426,3314,42,988,20,75,0,938,20,0,0,0,5609,4059,119,1408,77,72,5,0,0,4659,3425,10,1152,10,72,0,1091,10,0,0,0,0,5876,4130,41,1604,83,76,3,1445,60,0,3,0,202,5935,4419,80,1392,29,30,1,0,0,4591,3502,49,1003,20,27,1,0,0,4277,3089,114,916,15,17,0,3,123,5385,3751,157,1344,36,124,5,4277,3089,114,966,21,104,3
01057001701,2,01057001701,137,77,60,166,89,77,163,93,70,129,75,54,126,75,51,126,73,53,106,61,45,160,81,76,154,76,78,241,174,0,68,0,0,0,68,0,0,0,0,282,194,0,84,0,0,0,0,0,257,180,0,78,0,0,0,78,0,0,0,0,0,305,218,0,90,0,0,0,89,0,0,0,0,2,258,94,13,151,0,2,0,0,0,213,75,7,131,0,0,0,0,0,206,98,2,101,1,0,0,0,4,252,113,4,131,3,2,0,206,98,2,104,2,0,0
01069000101,7,01069000101,1312,335,973,1703,415,1260,1697,464,1233,1091,257,834,1087,279,808,1087,244,842,841,272,567,1502,335,1140,1476,354,1119,2758,2206,30,501,8,11,0,496,8,4,4,0,3515,2741,64,691,19,11,0,0,0,2651,2054,26,555,8,3,0,555,8,0,0,4,0,3433,2590,53,750,37,3,6,743,12,0,0,6,32,3274,2668,27,545,14,22,1,0,0,2522,2059,17,422,7,18,0,0,0,2607,2003,37,458,8,8,0,13,80,3348,2543,62,629,26,81,6,2607,2003,37,482,12,54,2
01063000104,4,01063000104,235,196,39,247,204,43,248,212,36,226,186,40,227,187,40,225,185,40,208,177,31,268,221,47,263,214,49,367,26,0,343,0,0,0,343,0,0,0,0,426,35,0,388,1,0,0,0,0,311,32,0,281,0,0,0,281,0,0,0,0,0,364,43,0,321,1,0,0,321,0,0,0,0,1,447,76,5,366,0,3,0,0,0,367,69,2,294,0,3,0,0,0,299,59,2,235,0,0,0,2,1,352,70,2,278,0,1,0,299,59,2,236,0,1,0
