GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
1201100Q090,24,1201100Q090,1123,461,648,1416,553,854,1006,425,572,1014,432,571,991,440,551,1170,475,661,1151,447,675,1639,865,392,316,58,1,0,310,47,1,1,0,2079,1054,571,388,87,0,14,0,0,1467,883,389,137,56,1,0,129,39,1,0,1,0,1913,969,546,165,82,1,0,133,58,1,0,156,48,2093,1279,562,169,90,24,8,0,0,1629,994,445,128,68,13,4,0,0,1744,913,620,77,60,1,0,8,65,2176,1081,820,148,105,18,7,1744,913,620,104,75,15,6
1201100C023,23,1201100C023,3943,2491,1404,4732,2929,1775,3592,2269,1265,3626,2347,1262,3503,2290,1212,4139,2614,1417,4072,2490,1490,5976,3931,1143,722,58,52,0,704,58,0,65,0,8207,4374,2184,1413,284,253,0,0,0,5567,3527,1249,623,47,60,0,593,47,0,0,55,0,8780,3988,3124,1456,244,334,0,1137,180,0,0,56,297,7919,4963,1552,1224,204,37,18,0,0,6976,4647,1288,866,176,32,15,0,0,8200,4167,2120,1250,233,7,1,68,354,9551,4458,2571,1960,375,94,21,8200,4167,2120,1415,310,72,15
1201100D005,23,1201100D005,1490,1226,247,1796,1416,357,1338,1106,211,1362,1149,207,1315,1122,193,1585,1300,243,1553,1231,280,3068,1215,885,876,87,10,0,876,87,0,0,0,5913,1307,2650,1873,217,54,0,0,0,2956,1067,762,1040,79,14,0,1040,79,4,0,0,0,5844,1127,2357,2313,131,11,0,2217,99,3,0,0,41,4732,1385,1515,1828,77,26,23,0,0,3732,1263,1136,1294,63,21,18,0,0,3756,1096,1299,1198,47,3,0,9,104,4783,1193,1766,1768,78,62,10,3756,1096,1299,1299,63,47,3
1201100D002,23,1201100D002,1164,836,323,1490,1028,455,1073,775,278,1088,820,262,1058,787,271,1200,824,341,1150,792,324,1714,778,466,455,8,15,0,455,8,0,0,0,2794,801,1070,911,28,108,0,0,0,2072,981,579,472,16,22,0,472,16,0,0,0,0,3409,1076,1365,929,16,41,0,808,16,0,0,35,112,3266,1071,1188,952,82,30,22,0,0,2538,977,849,659,71,21,16,0,0,2927,1121,1193,410,53,11,3,20,116,3514,1221,1538,654,82,92,10,2927,1121,1193,525,63,82,7
12009000516,7,12009000516,4259,2154,2028,5604,2803,2701,3800,1917,1808,3822,2057,1716,3812,2074,1738,4354,2070,2066,4273,1963,2043,7824,4473,1344,1629,265,110,0,1562,65,0,0,0,11445,5998,1928,3365,328,427,0,0,0,7897,4592,1680,1358,79,193,0,1304,35,0,0,0,0,11507,5800,2629,3521,85,356,0,2175,34,0,0,333,545,9372,5582,1443,2144,287,93,19,0,0,6700,4261,930,1326,189,61,13,0,0,8773,4730,1657,1728,158,15,5,74,406,11757,5913,2363,3048,371,283,18,8773,4730,1657,2031,262,209,16
12009000313,7,12009000313,5576,2591,2894,7061,3307,3657,5133,2339,2699,5185,2511,2602,5171,2550,2621,5673,2495,2913,5565,2330,2924,7550,4982,807,1272,360,41,0,1247,343,41,78,0,10698,6366,1589,2322,691,122,0,0,0,7400,4348,1130,1474,351,34,0,1454,196,34,0,60,0,10808,5591,1956,3095,909,85,0,2225,296,85,0,85,569,9444,5922,1279,2024,268,120,28,0,0,6916,4552,820,1349,182,78,18,0,0,9389,5611,1342,1832,169,28,20,35,352,12120,6928,1929,2823,336,272,42,9389,5611,1342,2099,238,204,35
12009000105,7,12009000105,3924,1422,2389,4597,1690,2834,3546,1227,2227,3572,1361,2131,3541,1448,2093,4199,1393,2588,4126,1409,2442,6880,5615,361,525,177,211,0,522,114,123,0,0,8723,6626,692,926,298,217,0,0,0,7137,5873,218,724,127,194,0,719,79,37,0,0,0,8798,6916,449,1034,216,202,0,1022,127,38,0,0,246,7881,6375,388,914,125,109,42,0,0,6222,5192,257,607,87,86,28,0,0,6626,5150,456,643,78,35,4,31,229,8277,6175,649,1094,158,233,15,6626,5150,456,727,122,179,12
12009000427,7,12009000427,3413,1158,2172,3835,1449,2336,3159,981,2114,3183,1120,2010,3179,1177,2002,3610,1182,2213,3547,1032,2360,4765,4170,310,127,129,26,0,89,109,11,2,0,6235,5154,488,180,372,29,0,0,0,4632,3864,450,109,182,27,0,107,128,12,0,0,0,6001,4706,640,211,447,29,0,133,173,11,0,31,313,5791,4755,491,230,326,46,17,0,0,4227,3516,340,155,206,30,10,0,0,4371,3430,414,145,164,10,0,32,176,5413,4130,561,279,315,111,12,4371,3430,414,183,229,84,8
12009000135,7,12009000135,1308,401,874,1553,465,1071,1171,337,805,1180,368,784,1171,409,762,1431,426,955,1392,421,858,2687,2342,197,63,33,38,4,63,31,0,4,0,3287,2748,325,96,36,78,9,0,0,2542,2177,145,139,25,61,0,139,20,0,0,0,0,3060,2415,344,190,22,116,0,164,18,0,0,0,120,2679,2489,97,53,22,33,0,0,0,2301,2158,67,39,14,27,0,0,0,2632,2295,121,65,18,10,3,4,116,3071,2630,163,133,44,91,13,2632,2295,121,87,37,78,12
12009000512,7,12009000512,2259,619,1592,2609,782,1800,2076,540,1492,2097,602,1458,2100,655,1445,2394,595,1704,2356,566,1666,3593,3202,173,99,109,3,0,86,99,0,0,0,4690,3740,340,158,450,8,0,0,0,3723,3232,279,78,115,18,0,64,70,10,0,0,0,5014,3772,526,147,529,26,0,102,359,11,0,17,234,3518,3070,214,117,88,48,8,0,0,2847,2523,148,88,61,38,7,0,0,3227,2672,239,73,79,19,0,13,132,3950,3202,328,141,159,126,2,3227,2672,239,95,109,107,2
