GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
2400107-002,5,2400107-002,1044,268,754,1182,330,832,930,123,799,917,249,666,926,322,570,1180,247,886,1146,339,776,1643,1582,1,28,34,0,0,16,17,0,0,0,2173,2050,5,64,53,0,0,0,0,1491,1420,1,10,61,0,0,0,41,0,0,4,0,1905,1773,5,16,112,4,0,0,94,0,0,0,34,2164,2047,23,37,47,6,0,0,0,1653,1584,15,20,26,6,0,0,0,1701,1589,8,17,37,0,0,4,46,2147,1968,15,55,63,30,0,1701,1589,8,29,45,22,0,2148,1969,15,59,64,31,0
2400105-004,5,2400105-004,611,234,354,701,275,415,557,145,400,542,232,310,546,265,254,678,215,409,638,261,336,1123,1061,26,14,12,1,0,8,12,0,7,0,1572,1487,38,32,22,14,0,0,0,1173,1130,13,10,8,7,0,6,8,0,0,3,0,1637,1561,20,31,19,12,0,8,15,0,0,4,34,1897,1720,19,138,7,13,7,0,0,1491,1387,10,80,3,9,2,0,0,1377,1214,22,81,7,0,0,9,44,1735,1496,39,144,15,32,1,1377,1214,22,104,12,21,1,1739,1497,39,149,15,32,1
2400124-000,5,2400124-000,782,176,590,862,191,652,698,76,612,686,169,517,696,189,478,897,191,679,861,240,592,1376,1330,30,8,12,0,0,7,2,0,0,0,1674,1602,31,15,29,0,0,0,0,1340,1301,19,7,11,0,0,7,6,0,0,0,0,1608,1549,19,8,30,0,0,7,19,0,0,0,12,1906,1857,9,20,17,1,2,0,0,1572,1544,7,9,11,1,2,0,0,1493,1437,12,11,9,1,0,0,23,1764,1681,16,24,21,22,1,1493,1437,12,20,14,14,1,1766,1683,16,24,21,22,1
2400120-000,5,2400120-000,868,164,689,1000,168,818,764,65,691,757,153,604,759,185,546,1000,163,808,958,253,669,1844,1791,9,48,0,0,0,38,0,0,0,0,2144,2050,9,88,0,0,0,0,0,1801,1763,4,22,9,0,0,18,0,0,0,0,0,2161,2088,3,59,9,0,0,22,0,0,0,0,47,2118,2064,17,23,5,16,0,0,0,1679,1648,11,11,4,10,0,0,0,1557,1493,15,7,4,0,0,4,34,1896,1803,25,20,12,31,1,1557,1493,15,10,10,24,1,1897,1804,25,20,12,31,1
2400107-001,5,2400107-001,951,271,661,1083,292,769,846,136,702,837,249,588,852,317,515,1080,289,745,1045,346,654,3191,2158,47,935,15,49,0,914,7,12,2,0,3771,2620,125,997,22,51,0,0,0,3138,2063,40,1002,12,26,0,1000,10,14,0,4,0,3636,2453,117,1039,15,28,0,1016,10,14,0,0,29,3719,2430,24,1226,15,20,1,0,0,3275,2017,19,1215,10,13,1,0,0,4669,2153,117,2292,23,19,0,4,61,5068,2500,133,2322,32,70,2,4669,2153,117,2305,27,57,1,2711,2037,73,511,25,59,1
2402102-016,5,2402102-016,1401,939,411,1580,1122,414,1264,698,545,1248,921,327,1263,907,289,1563,1027,432,1504,967,450,2795,1602,287,668,188,0,25,622,188,0,25,0,4089,1900,673,1080,418,23,102,0,0,2777,1780,266,558,161,0,0,480,161,0,0,10,0,4010,2241,647,1086,260,26,10,675,260,0,0,11,179,3817,2035,454,1041,317,24,11,0,0,2912,1692,291,708,217,19,9,0,0,3143,1412,571,778,224,21,5,21,111,4125,1694,818,1232,334,106,12,3143,1412,571,855,254,77,11,4144,1703,818,1233,333,96,12
2402102-006,5,2402102-006,1945,1094,790,2179,1363,756,1788,704,1070,1780,1099,680,1785,1082,612,2110,1161,791,2063,1143,841,2990,2350,183,238,143,73,2,218,132,63,0,0,4167,2971,282,438,383,70,4,0,0,2834,2294,195,119,178,48,0,106,138,38,0,0,0,3741,2747,294,212,419,47,0,169,366,36,0,27,102,3966,2734,367,604,256,41,9,0,0,2944,2149,218,379,179,29,7,0,0,3054,1936,420,362,212,6,1,23,94,3901,2284,612,659,342,74,3,3054,1936,420,434,242,55,3,3905,2286,612,662,344,73,3
2400902-004,2,2400902-004,1834,805,973,2425,1250,1129,1604,464,1116,1554,708,842,1588,738,770,1953,817,1007,1877,838,964,3647,2549,141,883,64,25,0,833,60,0,1,0,4592,3231,242,1066,79,62,0,0,0,3647,2659,244,663,73,19,0,612,57,0,0,5,0,4584,3339,353,801,117,26,0,701,87,0,0,5,96,4171,2916,102,1046,81,43,2,0,0,3147,2276,65,736,50,28,2,0,0,3720,2627,99,748,63,11,3,11,158,4866,3306,169,1117,133,137,15,3720,2627,99,799,90,88,9,4880,3313,169,1127,126,137,14
2400903-007,2,2400903-007,2084,726,1301,2414,983,1364,1899,334,1542,1862,719,1142,1888,758,1056,2253,776,1345,2193,775,1354,3204,2766,95,287,30,33,0,287,5,0,0,0,4046,3503,115,349,29,35,0,0,0,3045,2591,77,328,24,34,0,328,4,0,0,0,0,4266,3610,98,482,20,34,0,482,3,0,0,12,61,3980,3406,65,344,140,49,3,0,0,2998,2601,41,240,90,36,3,0,0,3141,2543,127,246,88,7,1,10,119,4154,3287,214,356,171,96,16,3141,2543,127,272,115,68,4,4157,3290,214,356,170,96,16
2402117-001,5,2402117-001,1233,329,868,1261,357,877,1140,139,984,1124,343,781,1127,368,702,1366,338,944,1339,394,917,1715,1548,85,59,26,0,0,51,16,0,0,0,2225,2007,100,59,70,0,0,0,0,1700,1550,69,4,41,34,0,0,41,0,0,0,0,2230,1963,87,4,91,95,0,0,56,0,0,0,123,2212,2100,51,35,24,9,1,0,0,1703,1646,30,17,8,6,1,0,0,1703,1581,34,15,15,3,0,4,51,2135,1950,53,41,39,30,8,1703,1581,34,20,20,27,3,2136,1950,53,42,39,30,8
