GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2014_Gov,Dem_2014_Gov,Rep_2014_Gov,Total_2014_Sen,Dem_2014_Sen,Rep_2014_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
25003001385,1,25003001385,810,587,199,905,702,196,919,678,216,686,541,125,685,553,132,690,402,287,981,669,218,455,365,87,467,387,80,2034,1708,168,83,45,28,10,79,45,0,4,0,2349,1906,212,136,58,31,9,0,0,2012,1689,182,84,50,3,10,76,50,2,10,4,0,2322,1850,220,146,90,6,9,131,51,2,9,7,52,2775,2433,151,143,24,52,12,0,0,2371,2097,120,113,20,44,6,0,0,2203,1788,141,120,15,2,0,32,105,2511,2012,173,195,38,75,1,2203,1788,141,162,25,59,0
25003002050,1,25003002050,1421,1118,281,1524,1267,248,1542,1294,225,1353,1105,230,1340,1125,210,1351,760,589,1456,1162,224,1042,761,278,1027,804,223,1836,1666,50,49,29,44,0,49,29,40,0,0,2219,1914,68,124,78,52,0,0,0,1893,1601,96,77,81,40,0,71,79,34,0,2,0,2338,1895,122,159,149,58,1,112,141,44,0,3,22,2475,2273,54,45,91,10,1,0,0,2107,1947,44,36,70,9,1,0,0,2073,1851,66,32,57,1,0,14,52,2441,2139,89,72,104,29,0,2073,1851,66,52,82,16,0
25003001675,1,25003001675,1814,1237,549,2093,1516,569,2162,1542,578,1596,1147,409,1565,1170,391,1592,797,795,1915,1242,530,1092,715,357,1121,811,310,2735,2665,59,0,0,10,0,0,0,10,0,0,3160,3076,71,0,0,5,0,0,0,2720,2585,114,4,0,15,0,4,0,15,0,0,0,3146,2979,139,2,0,9,0,2,0,9,0,17,0,3257,3070,105,50,17,27,1,0,0,2643,2511,74,33,11,22,1,0,0,2796,2546,111,22,12,6,0,10,89,3327,2963,170,58,32,80,1,2796,2546,111,40,16,55,1
25003000614,1,25003000614,820,472,333,977,594,371,990,583,390,701,445,240,686,461,225,696,250,446,885,510,327,553,377,174,549,381,168,1400,1365,19,14,4,4,0,14,0,0,0,0,1777,1707,38,30,4,5,0,0,0,1375,1305,29,14,4,25,0,14,0,0,0,0,0,1779,1678,46,29,2,29,0,19,0,0,0,0,36,1702,1668,16,15,2,3,0,0,0,1324,1309,8,4,1,3,0,0,0,1346,1275,15,6,11,0,0,0,39,1657,1567,19,20,14,30,1,1346,1275,15,11,12,30,1
25003001500,1,25003001500,1663,1152,474,1847,1423,415,1915,1448,420,1486,1063,382,1451,1106,344,1480,619,861,1787,1248,414,1032,721,305,1032,791,241,2672,2504,101,42,24,0,0,21,24,0,0,0,3493,3087,229,100,105,0,0,0,0,2623,2466,79,48,33,0,0,25,33,0,0,0,0,3249,2988,75,88,164,0,0,23,98,0,0,0,65,3217,3045,49,77,44,5,1,0,0,2581,2481,27,37,33,4,1,0,0,2558,2284,97,53,54,2,0,6,62,3124,2702,144,134,76,24,2,2558,2284,97,70,63,20,1
25003001507,1,25003001507,854,607,226,1013,760,240,1053,750,274,708,530,155,696,524,169,694,389,304,986,658,226,411,295,111,444,338,106,2436,2053,133,208,12,24,13,164,3,0,3,0,3448,2626,326,305,220,23,13,0,0,2463,2010,197,193,34,20,12,131,18,0,12,3,0,3120,2418,300,373,55,29,12,205,37,0,12,0,150,3133,2427,263,414,22,36,10,0,0,2278,1898,146,202,15,25,3,0,0,2233,1674,194,201,18,7,0,4,135,2968,2080,311,448,47,101,2,2233,1674,194,280,27,83,1
25003001508,1,25003001508,1429,970,421,1616,1195,403,1666,1214,403,1282,928,316,1253,940,312,1272,562,709,1558,1013,419,789,559,225,822,635,187,2439,2174,87,133,9,9,17,112,0,0,0,0,2824,2448,134,181,23,15,17,0,0,2677,2433,108,91,18,13,18,75,0,4,18,0,0,3024,2640,139,182,27,21,18,149,9,1,18,0,65,3129,2856,73,150,37,15,2,0,0,2531,2344,47,97,29,12,2,0,0,2583,2210,102,117,14,4,2,18,116,3103,2557,163,237,46,60,3,2583,2210,102,170,29,45,3
25003000999,1,25003000999,2906,1891,949,3384,2377,977,3489,2415,985,2535,1753,705,2473,1814,650,2507,1005,1498,3034,1969,852,1680,1123,538,1709,1260,449,4325,4085,79,38,123,10,0,28,108,10,0,0,5742,5144,78,123,201,9,0,0,0,4375,4045,194,44,83,15,0,29,68,15,0,0,0,5705,5134,195,49,172,17,0,30,158,13,0,144,31,5943,5453,261,77,114,43,1,0,0,4846,4500,180,50,78,33,1,0,0,4903,4385,223,36,108,6,1,21,123,5788,5083,304,71,158,88,13,4903,4385,223,50,119,73,5
25013001781,1,25013001781,543,402,130,660,487,167,699,511,178,416,338,64,412,339,72,416,206,210,671,539,91,361,239,114,385,306,79,1666,274,753,501,135,0,0,501,135,0,0,0,2870,339,1297,1092,355,0,0,0,0,1783,280,821,616,70,0,0,616,70,0,0,0,0,2742,332,1279,1235,205,0,0,924,205,0,0,0,2,2365,618,1105,587,161,49,20,0,0,1575,527,627,363,111,31,9,0,0,1810,347,869,349,185,7,0,6,47,2532,384,1319,698,250,69,14,1810,347,869,465,189,52,8
25013001784,1,25013001784,954,600,330,1041,691,341,1069,711,338,837,570,240,833,620,212,832,340,487,1095,678,341,638,363,263,675,468,207,1582,823,293,172,247,48,0,152,245,48,3,0,2159,917,659,236,314,47,3,0,0,1516,799,298,162,223,31,0,162,222,25,0,4,0,2132,901,674,217,307,36,4,190,305,24,0,0,40,2406,1593,382,403,67,17,5,0,0,1833,1340,218,250,44,7,3,0,0,2110,1097,519,302,107,1,1,9,74,2690,1244,785,593,167,61,4,2110,1097,519,399,132,37,4
25013001976,2,25013001976,1435,740,654,1682,984,672,1732,966,718,1220,647,515,1202,771,430,1205,295,905,1600,776,674,950,401,543,1024,590,434,2913,2281,322,91,149,52,0,80,132,18,30,0,3767,2893,484,185,182,83,24,0,0,2771,2076,414,64,149,49,0,61,142,23,0,21,0,3852,2778,514,100,392,74,13,79,363,23,0,0,92,3627,3190,203,113,118,16,5,0,0,2851,2570,108,78,88,14,5,0,0,2936,2320,317,108,87,1,0,11,92,3756,2846,492,231,151,83,5,2936,2320,317,150,110,59,2
25013001992,2,25013001992,869,464,363,1065,608,429,1092,587,448,696,400,258,682,448,233,691,236,453,994,512,351,432,209,215,477,300,177,2488,1931,548,4,10,4,0,4,10,0,0,0,3386,2520,786,51,34,5,0,0,0,2423,1794,548,19,0,22,0,4,0,0,0,50,0,3295,2294,867,112,23,106,0,5,23,0,0,0,106,3299,2545,548,106,99,41,2,0,0,2511,2015,357,63,75,27,1,0,0,2352,1654,436,51,88,4,2,15,102,3041,2039,629,152,147,74,2,2352,1654,436,104,96,60,2
25013000607,1,25013000607,867,502,340,1046,667,355,1077,649,402,700,413,251,692,467,224,698,235,461,1028,602,355,479,241,223,546,361,185,2264,1360,771,105,27,2,0,74,22,2,0,0,3069,1519,1349,210,57,3,0,0,0,2120,1278,608,102,133,2,0,75,17,2,0,0,0,2741,1397,1049,252,158,3,0,110,32,3,0,0,152,3207,2112,916,171,57,37,9,0,0,2376,1683,564,121,37,25,9,0,0,2351,1373,739,120,38,2,3,17,59,3115,1650,1123,294,70,63,7,2351,1373,739,194,51,44,7
25003000122,2,25003000122,964,572,364,1157,740,397,1195,757,413,797,509,261,788,525,258,784,356,425,1029,571,368,554,354,191,575,393,182,1580,1485,25,45,0,4,0,30,0,0,20,0,1941,1793,75,62,0,23,0,0,0,1610,1505,55,24,4,4,0,14,4,0,0,20,0,2012,1851,102,50,2,27,0,14,2,0,0,7,36,1779,1699,33,13,15,15,0,0,0,1466,1412,17,11,9,13,0,0,0,1624,1522,40,5,9,0,0,3,45,1931,1779,63,23,16,35,2,1624,1522,40,11,15,28,2
25003000849,1,25003000849,965,759,193,1097,897,197,1114,905,188,864,696,155,853,712,139,861,513,347,1030,824,149,732,540,185,736,599,137,1452,1361,18,57,8,1,0,57,4,1,0,0,1942,1641,163,106,18,4,0,0,0,1500,1416,23,42,10,1,0,42,4,0,0,0,0,1827,1646,56,101,14,1,0,74,9,0,0,4,34,1770,1617,63,45,35,9,0,0,0,1517,1410,49,34,23,5,0,0,0,1488,1302,86,24,38,0,1,4,33,1700,1427,128,56,67,26,2,1488,1302,86,43,43,20,2
