GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
3117900009P,3,3117900009P,382,114,254,491,171,298,455,108,311,346,106,226,343,112,231,281,0,281,397,108,263,967,861,46,40,8,11,0,30,8,2,0,0,1228,1037,95,53,11,47,0,0,0,980,868,49,34,11,14,0,19,11,2,0,2,0,1272,1083,98,42,19,50,0,22,16,1,0,2,54,1416,1200,133,48,15,12,11,0,0,1166,1025,76,34,15,8,10,0,0,1164,900,168,33,13,2,0,5,43,1480,1077,278,61,25,61,9,1164,900,168,50,23,32,3
3114700005P,2,3114700005P,175,38,133,208,43,159,184,23,143,153,42,107,155,38,117,124,0,124,195,34,147,319,308,4,2,0,3,0,0,0,2,0,0,378,370,5,2,0,2,0,0,0,331,321,4,0,0,3,0,0,0,2,0,0,0,379,368,4,1,0,4,0,0,0,3,0,0,2,403,388,8,0,1,6,0,0,0,327,317,5,0,1,4,0,0,0,280,264,2,0,0,2,0,0,12,349,322,3,4,1,10,0,280,264,2,4,1,6,0
3114700004P,2,3114700004P,107,29,76,141,38,102,124,24,91,91,29,58,92,31,61,69,0,69,111,22,80,196,188,2,0,0,3,0,0,0,1,0,0,245,233,2,0,0,5,0,0,0,201,189,2,0,0,6,0,0,0,1,0,0,0,222,213,2,0,0,8,0,0,0,1,0,0,6,221,213,4,3,1,3,0,0,0,179,173,4,1,1,1,0,0,0,193,184,4,0,0,0,0,0,5,231,216,10,1,0,5,0,193,184,4,0,0,5,0
3117900012P,3,3117900012P,411,151,246,471,196,263,426,116,282,393,135,244,391,165,226,313,0,313,423,137,240,1321,1173,73,52,11,14,0,42,11,3,2,0,1612,1396,123,69,13,29,0,0,0,1302,1133,84,60,14,17,0,43,14,3,0,3,0,1558,1326,134,68,21,27,0,44,18,3,0,3,30,1420,1317,42,38,14,13,2,0,0,1253,1173,32,32,10,11,0,0,0,1337,966,146,109,44,2,0,26,44,1559,1119,197,122,63,20,22,1337,966,146,115,63,15,19
3110100010P,3,3110100010P,347,84,253,434,94,330,405,58,317,291,76,201,290,84,206,241,0,241,391,84,282,831,736,44,4,3,34,2,4,3,26,8,0,1137,939,134,16,18,58,5,0,0,813,730,34,5,3,15,0,5,3,12,0,16,0,1104,930,121,21,15,51,0,4,15,13,0,0,21,1030,913,88,9,8,20,0,0,0,762,690,51,3,6,9,0,0,0,877,739,97,5,10,0,1,0,25,1164,948,146,22,19,28,8,877,739,97,10,12,20,2
3110100006P,3,3110100006P,131,16,115,160,20,140,158,16,135,118,14,100,116,16,100,101,0,101,137,15,118,245,240,4,0,0,0,0,0,0,0,0,0,322,304,7,4,3,0,0,0,0,246,238,1,0,0,0,0,0,0,0,0,0,0,316,302,7,7,1,0,0,7,0,0,0,0,0,318,304,10,2,2,0,0,0,0,253,244,5,2,2,0,0,0,0,227,212,8,0,1,0,0,0,6,284,266,10,1,1,7,2,227,212,8,1,1,7,0
3118500001P,3,3118500001P,533,95,429,678,128,541,640,90,525,453,92,348,450,108,342,373,0,373,564,88,457,906,883,5,0,11,1,0,0,11,0,0,0,1192,1157,16,4,17,2,0,0,0,882,815,32,24,5,0,0,24,5,0,0,0,0,1175,1043,104,79,10,0,0,23,10,0,0,0,5,1171,1119,31,3,4,12,0,0,0,932,903,17,1,2,7,0,0,0,845,797,22,1,0,0,0,1,24,1096,1029,31,10,6,22,3,845,797,22,4,5,16,3
3118500001W,3,3118500001W,480,106,360,609,143,445,580,71,481,414,100,300,413,121,292,343,0,343,468,82,353,843,802,21,3,3,9,0,2,3,0,12,0,1061,987,40,13,13,24,0,0,0,796,755,24,3,3,7,0,0,3,0,0,6,0,1034,971,39,16,9,22,0,8,6,0,0,0,20,1026,957,46,10,16,4,5,0,0,764,735,22,4,10,4,3,0,0,854,817,14,2,1,0,0,2,18,1152,1100,19,8,3,25,4,854,817,14,2,3,20,4
3100500001P,3,3100500001P,249,22,223,284,21,260,270,21,228,232,24,202,227,31,196,199,0,199,272,17,244,305,300,4,4,0,12,0,0,0,4,0,0,427,409,2,2,0,14,0,0,0,325,315,4,4,0,12,0,0,0,4,0,0,0,439,418,7,2,3,13,0,0,0,1,0,1,12,460,435,19,0,2,5,1,0,0,335,324,7,0,1,3,0,0,0,316,297,5,3,0,0,0,0,11,434,400,12,5,5,22,5,316,297,5,3,2,11,3
3110100004P,3,3110100004P,349,46,300,443,64,376,427,54,349,291,34,250,292,46,246,255,0,255,376,41,317,645,628,27,0,0,0,0,0,0,0,0,0,761,716,51,3,1,3,0,0,0,666,645,22,0,0,0,0,0,0,0,0,0,0,780,734,43,0,1,3,0,0,0,1,0,0,0,811,756,47,1,0,7,0,0,0,661,626,31,0,0,4,0,0,0,661,598,43,0,4,3,2,0,11,780,690,62,6,7,16,4,661,598,43,1,5,13,4
