GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_LtG,Dem_2018_LtG,Rep_2018_LtG,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
40079000102,5,40079000102,430,84,336,499,82,412,496,84,391,338,101,228,336,83,247,338,78,260,470,75,385,461,104,338,977,778,27,31,7,133,0,29,3,100,5,0,1325,944,86,54,12,237,0,0,0,978,757,17,38,7,158,0,37,3,120,0,4,0,1243,899,41,68,12,241,0,44,6,177,0,1,80,1264,1014,33,29,14,186,0,0,0,965,818,13,16,4,118,0,0,0,865,609,28,20,7,128,0,1,72,1119,737,54,38,10,307,1,865,609,28,23,8,201,0
40113000113,1,40113000113,50,16,33,55,14,40,53,14,35,41,23,18,41,19,22,40,16,24,54,17,37,53,17,33,90,72,0,0,0,14,0,0,0,3,0,0,119,99,1,0,0,22,0,0,0,110,85,1,0,0,21,0,0,0,1,0,0,0,148,110,13,0,0,33,0,0,0,10,0,0,23,147,112,1,0,0,34,0,0,0,110,93,1,0,0,16,0,0,0,103,80,1,0,0,5,0,0,17,128,92,2,1,4,32,0,103,80,1,1,4,19,0
40113000102,1,40113000102,167,31,132,196,24,167,195,22,165,141,45,92,142,36,103,142,39,103,165,31,126,165,34,125,287,203,0,2,13,70,0,2,13,44,2,0,372,235,0,2,21,114,0,0,0,257,183,0,0,0,76,0,0,0,26,0,2,0,317,210,7,2,0,101,0,0,0,30,0,0,70,400,293,6,8,2,93,0,0,0,314,246,4,5,1,59,0,0,0,310,223,2,1,3,47,0,0,34,394,266,7,3,3,110,1,310,223,2,3,3,74,1
40113000101,1,40113000101,171,21,145,194,20,174,189,19,164,137,27,100,136,22,107,136,20,116,192,28,153,188,30,144,282,223,0,6,1,52,0,2,1,32,0,0,351,245,23,6,1,73,0,0,0,313,242,2,6,0,58,0,2,0,35,0,0,0,431,309,35,19,0,78,0,2,0,38,0,0,39,421,301,15,5,2,105,0,0,0,319,241,7,4,1,71,0,0,0,298,203,16,3,1,44,0,0,31,361,235,20,6,2,99,2,298,203,16,5,2,74,1
40079000301,5,40079000301,322,107,206,335,95,234,331,106,213,265,141,116,263,113,139,257,107,150,347,92,241,342,110,212,830,526,15,22,0,271,0,18,0,186,0,0,1101,665,36,32,4,377,0,0,0,933,632,10,8,0,274,0,4,0,199,0,4,0,1187,744,31,23,6,398,0,8,6,290,0,0,105,1230,675,22,22,7,520,1,0,0,926,544,11,12,2,354,1,0,0,764,369,19,5,7,297,1,1,65,1027,445,35,21,12,522,1,764,369,19,8,11,361,1
40079000107,5,40079000107,868,157,683,1031,147,865,1018,155,822,693,179,498,689,156,514,691,152,539,910,149,726,893,168,654,1660,1427,21,3,3,203,0,3,3,134,0,0,2254,1890,37,13,20,288,0,0,0,1639,1396,23,20,6,196,0,12,6,104,0,0,0,2189,1825,58,18,19,268,0,12,19,148,0,0,125,2197,1853,58,22,18,251,1,0,0,1685,1464,30,10,13,169,1,0,0,1802,1376,49,10,18,173,0,0,176,2256,1613,92,41,33,491,4,1802,1376,49,30,25,324,1
40079000109,5,40079000109,710,141,545,838,124,700,831,121,676,559,176,366,555,137,405,555,143,412,791,139,623,781,185,524,1630,1382,19,0,8,215,0,0,8,103,0,0,2246,1795,41,2,10,394,0,0,0,1645,1351,24,2,8,258,0,1,8,157,0,0,0,2225,1722,58,23,10,411,0,2,9,234,0,0,198,2190,1821,49,22,12,295,3,0,0,1647,1442,22,9,8,166,3,0,0,1623,1266,41,8,3,146,0,1,158,2104,1550,70,26,23,431,1,1623,1266,41,19,16,268,1
40079000211,5,40079000211,581,125,441,658,100,553,653,117,514,475,167,295,468,122,335,469,138,331,633,95,515,615,139,435,1594,1286,42,39,6,219,0,39,6,143,0,0,2184,1643,181,41,5,320,0,0,0,1495,1177,52,39,13,225,0,39,13,160,0,0,0,2122,1555,159,41,19,355,0,37,19,231,0,0,125,1849,1371,125,11,20,336,0,0,0,1361,1081,64,7,13,204,0,0,0,1114,824,69,6,6,131,0,0,78,1547,1073,102,15,13,356,0,1114,824,69,8,10,207,0
40113000107,1,40113000107,1039,323,675,1077,323,719,1080,357,673,873,393,440,869,321,518,870,313,557,1085,304,705,1083,277,716,2164,1386,34,50,4,696,0,28,4,521,0,0,2779,1610,89,53,4,1076,0,0,0,2254,1569,30,74,2,587,0,31,2,443,0,0,0,2883,1797,111,82,3,964,0,31,3,696,0,0,260,3167,1779,104,113,7,1211,4,0,0,2381,1482,56,71,3,765,3,0,0,1995,1144,82,34,2,532,0,1,200,2630,1340,138,89,13,1082,3,1995,1144,82,41,7,719,1
40113000103,1,40113000103,262,45,206,272,45,219,271,47,211,208,52,143,207,44,152,206,48,158,276,44,220,273,40,209,466,383,6,0,2,68,0,0,2,34,0,0,634,491,29,8,3,114,0,0,0,540,413,19,2,0,109,0,0,0,27,0,0,0,771,546,65,6,0,153,0,0,0,49,0,0,109,743,585,16,3,7,137,2,0,0,558,466,8,1,4,81,1,0,0,433,353,5,1,0,33,0,0,41,583,460,10,10,3,102,1,433,353,5,7,1,66,1
