GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
47135006954,7,47135006954,287,54,231,353,56,293,334,46,283,253,62,191,248,63,181,295,46,240,585,577,0,8,0,0,0,8,0,0,0,0,804,778,19,7,0,0,0,0,0,648,640,0,8,0,0,0,8,0,0,0,0,0,973,905,62,7,0,0,0,7,0,0,0,0,0,807,779,4,20,1,4,0,0,0,610,600,0,5,1,4,0,0,0,636,599,4,23,0,2,0,2,6,823,765,8,38,4,12,0,636,599,4,25,0,8,0
47135006952,7,47135006952,314,61,247,323,57,261,305,47,251,312,67,240,311,71,229,328,59,257,748,739,9,0,0,1,0,0,0,1,0,0,951,924,24,0,0,3,0,0,0,600,591,9,0,0,0,0,0,0,0,0,0,0,792,764,28,0,0,0,0,0,0,0,0,0,0,990,942,38,0,2,8,0,0,0,717,687,21,0,2,7,0,0,0,828,787,7,4,1,6,0,4,19,1119,1056,15,7,4,27,1,828,787,7,5,1,21,1
47071003705,7,47071003705,1226,280,926,1480,299,1166,1417,262,1131,1045,253,778,1050,318,719,1327,293,1004,2208,2083,20,70,4,35,0,70,4,26,0,0,2814,2625,66,82,4,33,0,0,0,2213,2065,21,78,4,39,0,74,4,30,0,0,0,2802,2564,94,99,4,55,0,95,2,34,0,0,12,2698,2450,50,172,11,22,1,0,0,2097,1924,27,129,5,17,1,0,0,2169,1932,37,115,12,3,0,0,70,2799,2477,47,168,17,74,2,2169,1932,37,116,15,57,1
47157008171,9,47157008171,901,852,27,966,910,37,932,860,29,815,745,27,819,792,10,1082,1043,15,2558,58,3,2478,22,30,0,2448,22,0,0,0,3562,61,21,3476,22,48,0,0,0,2434,74,12,2332,22,50,0,2282,22,0,0,0,0,3360,76,38,3253,20,81,0,3146,20,0,0,0,81,3867,35,21,3813,4,24,0,0,0,2814,27,11,2775,3,20,0,0,0,2419,36,50,2272,1,2,3,0,55,3199,38,87,3073,10,46,5,2419,36,50,2322,6,34,5
47157008195,8,47157008195,1982,1795,149,2317,2091,202,2246,1985,186,1750,1544,139,1749,1614,114,2193,2005,153,4588,393,65,4055,74,0,0,4055,74,0,0,0,6924,388,643,5770,123,0,1,0,0,4980,266,114,4523,69,0,0,4523,69,0,0,10,0,7788,266,672,6715,147,10,1,6668,137,0,0,0,47,6826,606,404,5553,280,39,6,0,0,4824,555,260,3810,201,27,3,0,0,5116,280,641,4002,128,1,0,8,56,7119,301,1023,5631,173,52,1,5116,280,641,4074,136,33,0
47099005174,4,47099005174,268,32,234,326,30,294,305,27,273,229,32,196,225,33,191,274,24,245,592,561,13,12,2,10,0,12,0,0,0,0,856,814,20,20,2,8,0,0,0,691,681,5,5,0,5,0,5,0,0,0,0,0,879,861,8,12,0,5,0,6,0,0,0,7,5,747,723,6,3,7,12,3,0,0,543,526,3,1,1,10,0,0,0,515,495,3,5,0,1,0,1,10,692,665,8,9,2,9,2,515,495,3,7,2,9,2
47099005164,4,47099005164,647,150,488,782,153,623,718,119,581,557,150,400,556,170,377,695,151,531,1579,1430,22,53,0,26,53,53,0,8,0,0,2360,2130,50,86,0,24,53,0,0,1685,1505,33,78,0,27,45,69,0,9,45,0,0,2479,2226,48,116,0,28,46,75,0,9,46,33,47,2389,2227,37,93,8,29,1,0,0,1729,1618,18,70,5,22,1,0,0,1755,1614,38,58,4,4,0,1,36,2410,2206,52,97,6,45,0,1755,1614,38,67,6,29,0
47017000819,7,47017000819,133,28,104,163,31,129,154,28,124,119,26,92,120,31,88,145,28,115,316,280,0,24,2,5,0,24,2,0,0,0,436,358,18,49,2,6,0,0,0,332,282,2,33,2,9,0,33,2,0,0,0,0,457,346,26,71,2,9,0,70,2,0,0,0,10,434,374,5,47,0,3,2,0,0,333,292,4,32,0,3,2,0,0,350,297,12,21,0,2,0,0,18,441,363,14,40,1,26,1,350,297,12,22,1,18,1
47017000803,7,47017000803,582,136,436,689,127,550,664,114,533,512,136,369,514,155,357,595,142,438,1331,1222,14,61,9,22,0,57,9,0,0,0,1646,1486,32,84,24,22,0,0,0,1291,1166,10,112,0,6,0,86,0,0,0,0,0,1626,1428,39,145,9,7,0,118,9,0,0,0,33,1845,1671,47,109,4,16,2,0,0,1418,1299,24,79,3,14,2,0,0,1424,1254,18,80,7,7,0,4,54,1837,1600,31,142,11,55,6,1424,1254,18,90,10,51,2
47043002267,7,47043002267,1160,444,689,1493,531,922,1421,471,884,975,401,568,974,447,511,1146,411,693,3469,3003,167,280,17,0,0,248,17,0,10,0,4671,3656,390,637,70,0,0,0,0,3388,2735,206,389,39,6,0,353,39,0,0,13,0,4715,3493,413,885,50,11,0,554,38,0,0,0,208,4291,3340,366,520,34,45,7,0,0,3086,2496,213,332,21,31,6,0,0,3460,2627,331,289,18,9,0,22,164,4569,3365,502,524,48,133,2,3460,2627,331,358,35,100,2
47101005251,4,47101005251,513,93,415,626,96,517,595,91,493,439,89,350,441,100,336,546,97,437,995,938,16,27,7,5,0,27,7,0,0,0,1227,1141,22,39,13,4,0,0,0,1036,993,9,17,0,7,0,17,0,0,0,0,0,1273,1226,20,18,0,8,0,18,0,0,0,0,8,1311,1242,21,39,2,6,1,0,0,999,947,12,32,1,6,1,0,0,1023,949,24,28,1,1,0,0,20,1336,1241,36,35,5,14,1,1023,949,24,31,4,8,1
47083004304,7,47083004304,447,115,325,518,99,408,492,87,392,427,140,286,423,152,263,464,112,334,748,737,0,1,1,5,0,1,0,5,0,0,1026,1008,0,2,10,5,0,0,0,731,713,0,3,1,12,0,3,0,11,0,0,0,1044,1009,0,13,8,14,0,4,4,13,0,0,13,1170,1119,39,2,4,7,1,0,0,933,903,20,1,4,6,1,0,0,933,857,25,6,2,5,0,3,35,1218,1088,48,33,6,48,2,933,857,25,11,2,36,0
47079004112,8,47079004112,1359,298,1044,1670,335,1318,1579,270,1270,1208,298,902,1205,320,866,1334,260,1049,2125,2105,4,14,0,0,0,14,0,0,0,0,2456,2363,67,11,15,60,0,0,0,2031,1988,15,19,0,0,0,19,0,0,0,0,0,2420,2309,54,20,21,33,0,20,21,0,0,0,18,2771,2694,24,14,10,29,0,0,0,2431,2365,18,11,10,28,0,0,0,2515,2365,34,11,10,7,7,3,78,2847,2664,38,35,21,69,10,2515,2365,34,18,19,56,10
47079004110,8,47079004110,746,351,377,932,405,499,862,349,475,642,328,304,642,357,282,793,358,408,2049,1541,10,468,11,9,0,467,11,0,15,0,2807,1961,8,802,20,10,8,0,0,1967,1295,10,612,9,13,0,607,6,0,0,25,0,2617,1666,10,914,22,13,11,876,6,0,0,0,61,2907,2001,54,808,13,43,1,0,0,2124,1518,27,548,8,30,1,0,0,2015,1440,44,427,9,5,0,9,81,2673,1791,71,700,32,64,3,2015,1440,44,454,18,56,2
