GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
04013000006,8,04013000006,1208,479,709,1390,600,790,1398,575,804,1101,477,593,1085,437,647,1103,329,750,1143,389,676,1173,444,677,2077,1884,176,0,18,3,0,0,10,3,0,0,2261,1929,264,185,58,13,0,0,0,1708,1470,197,0,35,3,0,0,15,3,0,0,0,1799,1487,245,20,61,18,0,20,15,3,0,0,34,2047,1785,164,54,49,12,1,0,0,1810,1628,100,34,45,9,1,0,0,1967,1691,138,71,21,8,1,6,31,2145,1803,172,105,30,36,2,1967,1691,138,79,29,25,2
04013000728,9,04013000728,3724,896,2771,4336,1161,3175,4390,1104,3237,3423,913,2423,3350,819,2526,3432,653,2718,3527,783,2459,3599,788,2605,7279,6305,492,12,11,395,16,12,11,364,44,0,8732,7236,877,43,56,556,25,0,0,6993,6166,385,15,0,357,15,15,0,346,15,43,0,8557,7028,1003,46,37,497,26,14,5,420,13,10,56,8144,6598,1321,47,61,156,7,0,0,6633,5637,824,26,42,111,4,0,0,6725,5514,814,39,36,57,3,13,249,7916,6205,1194,117,98,290,28,6725,5514,814,71,65,248,13
04013000271,1,04013000271,3392,943,2424,4055,1245,2810,4033,1298,2702,3134,893,2218,3097,779,2316,3128,663,2450,3008,627,2296,3016,828,2058,3910,3791,0,39,85,0,0,39,68,0,0,0,4413,4161,39,39,171,0,0,0,0,3962,3642,47,115,82,71,0,115,69,0,0,0,0,4496,4063,76,115,171,71,0,115,156,0,0,0,85,4219,3913,101,50,130,26,2,0,0,3792,3550,76,43,97,20,2,0,0,5002,4678,121,20,91,8,0,15,69,5249,4862,149,35,126,50,3,5002,4678,121,25,109,39,0
04013000060,1,04013000060,2916,1106,1783,3367,1383,1984,3375,1382,1968,2702,1081,1597,2624,962,1661,2680,806,1852,2790,764,1931,2836,1036,1668,3820,3355,124,140,175,34,0,95,130,30,0,0,4967,4259,135,283,258,32,0,0,0,4185,3380,414,205,115,74,0,165,65,0,0,0,0,5545,4339,591,313,210,154,0,199,88,0,0,0,328,4594,4129,180,79,189,13,11,0,0,3484,3166,127,57,121,10,6,0,0,3867,3342,198,43,177,3,4,9,91,4775,4046,274,96,295,47,18,3867,3342,198,66,209,36,9
04013000709,9,04013000709,728,192,525,837,248,589,844,232,602,685,204,467,659,168,491,685,155,519,704,148,508,716,157,507,926,430,350,86,51,11,2,84,51,10,0,0,1595,622,739,152,95,15,3,0,0,1277,682,567,0,0,28,0,0,0,28,0,0,0,1679,876,779,0,0,27,0,0,0,27,0,0,0,1451,707,586,115,44,30,1,0,0,923,504,335,62,23,15,0,0,0,1245,757,376,33,15,17,0,3,44,1700,915,596,79,48,77,18,1245,757,376,45,32,42,7
04013000558,5,04013000558,4585,1710,2787,5723,2329,3394,5769,2264,3419,4076,1604,2402,3959,1434,2518,4055,1288,2704,3951,1161,2573,4051,1385,2306,6204,4875,832,192,261,0,0,145,225,0,30,0,9038,6812,1341,337,575,113,39,0,0,7490,5705,880,625,243,10,0,570,174,0,0,19,0,11615,8605,1359,1206,482,142,33,1084,308,0,0,0,259,8600,6329,1373,273,558,121,38,0,0,5692,4318,794,154,364,77,23,0,0,7199,5187,1079,167,461,33,9,30,233,10117,7134,1635,359,779,194,40,7199,5187,1079,219,555,126,22
04013000191,1,04013000191,5117,1918,3134,6001,2443,3558,6037,2406,3576,4653,1836,2736,4516,1644,2864,4627,1436,3134,4935,1488,3186,5059,1780,2985,7208,6465,372,48,220,89,4,48,201,24,18,0,9619,8181,674,128,420,226,3,0,0,7664,6681,454,58,190,242,4,58,156,24,4,30,0,10313,8353,879,138,392,325,5,94,200,27,5,22,735,8883,7932,527,128,252,57,12,0,0,6657,6053,323,76,164,45,7,0,0,7074,6153,437,61,171,9,5,24,214,8868,7560,650,142,344,122,29,7074,6153,437,97,230,91,22
04013000032,1,04013000032,1864,780,1050,2072,923,1149,2084,928,1124,1745,770,938,1694,700,994,1734,630,1078,1837,582,1162,1879,737,1016,2368,2092,177,11,58,35,0,10,57,30,1,0,3174,2654,313,16,118,72,2,0,0,2247,1960,198,5,41,20,0,4,36,19,0,3,0,3015,2486,341,19,119,49,4,9,75,41,0,1,57,3037,2692,204,37,71,44,10,0,0,2282,2093,121,18,44,19,3,0,0,2268,1928,174,20,42,6,0,9,89,2880,2350,290,46,124,49,6,2268,1928,174,35,77,35,4
04013000464,9,04013000464,4195,1923,2192,6226,3072,3154,6327,2955,3269,3126,1468,1570,3055,1403,1642,3120,1260,1785,3240,1225,1788,3331,1357,1749,8992,3931,3592,1205,115,131,8,1202,97,119,13,0,14447,5413,6982,1682,286,325,30,0,0,7947,3355,3694,643,39,154,0,643,29,152,0,61,0,13407,4507,7555,971,232,317,90,835,133,191,0,0,185,8375,4298,3267,591,190,181,31,0,0,5592,3174,1903,341,125,111,15,0,0,10599,4459,4827,636,165,93,32,66,321,15499,5909,7701,1252,423,587,129,10599,4459,4827,813,292,378,88
04013000489,1,04013000489,2175,712,1445,2512,890,1622,2514,891,1607,2038,702,1320,1977,607,1369,2019,537,1463,1982,545,1361,2046,672,1277,2859,2562,114,40,140,9,0,25,125,4,0,0,3361,2889,139,65,259,6,0,0,0,3157,2842,107,35,150,7,0,20,135,4,0,20,0,3753,3314,130,59,229,3,20,22,156,1,0,0,133,3309,3027,118,46,94,25,6,0,0,2718,2532,73,37,58,15,2,0,0,2982,2668,138,43,46,1,1,8,77,3415,2998,177,82,100,34,6,2982,2668,138,54,73,22,6
