GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0901111-054,2,0901111-054,2386,1316,999,2880,1667,1156,2207,1094,996,2182,1305,835,2164,1069,1055,2438,1552,822,2517,1260,1123,3587,3252,113,132,96,12,0,92,81,2,0,0,4494,3988,186,171,145,27,0,0,0,3811,3270,210,165,146,9,0,135,41,1,0,0,0,4514,3787,269,294,193,57,0,164,73,48,0,0,172,4641,3931,240,215,224,68,10,0,0,3577,3121,143,126,152,46,6,0,0,3729,2952,306,119,155,22,0,23,152,4723,3588,465,313,255,119,4,3729,2952,306,199,187,85,2,4730,3595,465,313,255,119,4
0901111-014,2,0901111-014,1936,1103,760,2402,1416,912,1742,858,766,1719,1065,615,1703,899,766,1991,1312,618,2068,1074,858,4158,2955,617,169,343,38,0,149,260,0,65,0,5367,3356,965,597,688,207,0,0,0,4183,2942,608,206,334,28,0,188,239,0,0,77,0,5440,3268,1066,560,731,196,2,200,428,10,0,40,426,5054,3507,537,559,470,106,8,0,0,4069,3014,334,359,349,68,4,0,0,4301,2937,503,293,274,29,13,31,221,5175,3316,702,705,414,176,40,4301,2937,503,478,327,124,24,5188,3326,703,706,414,176,40
0901111-051,2,0901111-051,1282,725,529,1576,973,580,1198,575,556,1188,735,445,1172,577,582,1279,808,450,1295,680,558,1604,1464,46,46,24,0,0,46,22,0,18,0,2013,1817,91,73,49,0,0,0,0,1789,1652,30,57,31,0,0,57,22,0,0,22,0,2139,1949,58,100,65,0,0,69,23,0,0,0,41,2082,1944,42,32,58,10,1,0,0,1744,1647,30,22,39,10,1,0,0,1804,1665,41,25,30,0,0,3,40,2092,1886,68,49,59,22,1,1804,1665,41,34,39,12,0,2094,1888,68,49,59,22,1
0901111-055,2,0901111-055,2833,1475,1268,3454,1892,1479,2604,1170,1303,2561,1452,1053,2539,1171,1319,2894,1798,1021,2984,1404,1405,4064,3514,213,115,160,25,0,78,146,25,38,0,5373,4347,482,252,314,49,20,0,0,4305,3779,146,145,112,59,0,73,102,44,0,67,0,5632,4650,367,353,237,116,26,75,202,44,0,0,297,5511,4759,255,168,307,74,7,0,0,4384,3887,173,106,202,47,5,0,0,4550,3777,282,110,183,20,0,33,145,5518,4419,424,238,293,122,3,4550,3777,282,166,209,90,3,5526,4426,424,238,293,122,3
0901111-012,2,0901111-012,2128,1224,823,2736,1654,1018,1842,918,810,1791,1109,646,1773,904,836,2258,1495,672,2373,1275,956,5035,3559,590,312,347,99,0,256,253,50,130,0,7067,4072,1178,868,1023,259,114,0,0,4775,3388,506,253,354,107,0,218,308,35,0,172,0,6605,3933,948,948,840,367,93,577,531,34,0,67,517,6852,4730,681,758,682,201,24,0,0,5370,3922,425,476,516,138,16,0,0,5377,3609,644,375,401,36,5,21,286,6343,3988,908,748,582,251,21,5377,3609,644,541,474,208,20,6363,4001,910,749,584,251,21
0901111-017,2,0901111-017,2525,1571,894,2835,1871,924,2395,1297,950,2365,1568,770,2339,1318,998,2586,1764,776,2645,1609,910,3356,3196,96,18,18,24,0,16,18,14,0,0,4060,3774,175,44,19,62,0,0,0,3403,3150,86,57,54,49,0,41,47,29,0,9,0,4071,3609,158,149,100,142,9,41,51,34,0,0,175,4426,4042,119,112,124,53,4,0,0,3562,3319,66,70,85,38,4,0,0,3591,3223,131,32,81,7,3,12,102,4146,3630,195,102,145,72,15,3591,3223,131,67,110,57,7,4149,3633,195,102,145,72,15
0901111-038,2,0901111-038,3024,1771,1153,3809,2303,1405,2695,1358,1191,2635,1651,935,2620,1379,1198,3168,2189,867,3280,1767,1317,6913,5085,550,813,318,169,0,673,297,24,50,0,9311,6054,1286,1608,435,688,0,0,0,7061,5005,739,859,352,105,0,783,329,34,0,60,0,9276,5808,1454,1792,461,439,10,1116,326,41,10,5,513,9916,6790,1344,1434,301,269,37,0,0,7437,5526,806,818,225,169,22,0,0,7700,4758,1330,917,186,46,5,53,405,9958,5565,2040,1981,296,357,48,7700,4758,1330,1241,235,266,32,10023,5595,2051,1993,296,357,48
0901111-010,2,0901111-010,1849,856,926,2379,1087,1223,1649,650,891,1597,836,729,1594,619,951,1934,1188,682,2018,789,1090,4260,3655,130,15,185,200,0,0,150,55,70,0,5836,5025,162,102,283,398,0,0,0,4155,3525,110,70,115,255,0,0,95,70,0,75,0,5603,4668,159,161,190,416,0,0,169,66,0,0,541,5657,4858,235,264,218,120,11,0,0,4345,3839,136,141,162,80,5,0,0,4255,3424,238,148,150,28,0,11,256,5398,4175,412,334,226,199,8,4255,3424,238,212,180,148,7,5421,4196,412,334,226,199,8
0901111-044,2,0901111-044,2351,1036,1231,2868,1270,1529,2158,779,1216,2118,1048,1036,2103,800,1275,2425,1379,974,2514,978,1377,3610,3235,15,100,159,100,0,10,155,55,35,0,4657,4016,44,259,263,148,11,0,0,3610,3295,49,70,145,38,0,0,135,4,0,40,0,4644,4042,90,216,228,103,12,0,186,6,0,44,276,4726,4274,115,106,124,132,10,0,0,3781,3493,60,66,92,71,3,0,0,3892,3393,121,45,97,27,0,12,197,4788,4107,204,135,164,154,9,3892,3393,121,92,130,119,9,4791,4110,204,135,164,154,9
0901111-053,2,0901111-053,2305,1240,978,2818,1571,1167,2113,995,991,2085,1218,821,2055,976,1035,2380,1516,774,2424,1185,1094,3675,3175,223,241,38,2,0,183,38,2,7,0,4595,3737,373,429,232,7,4,0,0,3603,3130,171,219,62,15,0,191,62,0,0,8,0,4397,3601,275,357,258,44,4,189,241,0,0,0,92,4632,3900,272,211,225,60,0,0,0,3758,3254,177,149,156,49,0,0,0,3906,3120,313,127,175,12,1,28,130,4768,3709,457,264,259,95,18,3906,3120,313,199,202,80,9,4775,3716,457,264,259,95,18
