GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
19029029010,3,19029029010,314,82,229,352,90,258,346,91,249,284,74,202,209,152,0,321,60,245,331,78,230,450,446,4,0,0,4,0,0,0,0,0,0,584,552,27,3,0,6,0,0,0,514,509,4,0,0,4,0,0,0,0,0,0,0,622,579,43,0,0,5,0,0,0,0,0,0,2,652,624,15,3,0,9,0,0,0,499,484,9,0,0,6,0,0,0,479,457,17,0,0,1,0,2,2,591,559,26,0,2,4,0,479,457,17,0,0,4,0
19029029007,3,19029029007,138,32,104,122,33,88,125,37,84,130,30,97,97,65,0,157,27,123,162,30,123,182,182,0,1,0,1,0,0,0,0,0,0,238,236,1,0,0,1,0,0,0,176,176,0,0,0,1,0,0,0,0,0,0,0,225,225,2,0,0,0,0,0,0,0,0,0,0,267,264,3,0,0,0,0,0,0,218,216,2,0,0,0,0,0,0,210,206,2,1,0,0,1,0,0,265,256,3,1,3,2,2,210,206,2,1,1,1,1
19137137008,3,19137137008,2530,807,1662,2867,979,1829,2854,937,1830,2122,730,1341,1705,1228,0,2672,644,1903,2718,803,1744,4286,4136,86,4,34,28,0,0,0,28,0,0,5684,5182,333,88,45,72,0,0,0,4340,4116,143,0,24,62,0,0,0,23,0,0,0,5648,5174,282,89,34,151,0,0,0,28,0,0,163,6124,5760,248,45,23,54,1,0,0,4652,4462,131,17,13,31,1,0,0,4598,4248,172,19,19,13,2,7,118,5962,5404,317,47,37,133,4,4598,4248,172,22,27,101,4
19137137001,3,19137137001,83,16,67,94,18,76,92,16,76,72,14,55,50,33,0,87,14,70,89,16,69,129,127,2,0,0,0,0,0,0,0,0,0,152,149,2,0,0,0,0,0,0,115,108,8,0,0,0,0,0,0,0,0,0,0,131,128,7,0,0,0,0,0,0,0,0,0,0,157,154,1,0,1,1,0,0,0,126,123,1,0,1,1,0,0,0,114,110,3,0,0,0,0,0,1,135,129,4,1,0,0,0,114,110,3,0,0,0,0
19135135001,3,19135135001,52,11,40,63,12,51,60,13,45,51,15,35,44,30,0,60,18,40,60,15,43,100,100,0,0,0,0,0,0,0,0,0,0,134,133,0,1,0,0,0,0,0,100,97,0,0,0,1,0,0,0,0,0,0,0,128,125,0,1,0,1,0,0,0,0,0,0,3,135,133,0,0,1,2,0,0,0,101,99,0,0,1,2,0,0,0,113,105,0,0,1,1,0,0,6,140,130,0,1,1,5,0,113,105,0,0,1,5,0
19099099014,1,19099099014,965,443,490,1109,483,601,1103,509,542,827,439,366,765,573,0,977,377,540,987,422,491,1406,1389,8,0,3,0,0,0,0,0,8,0,1817,1749,25,5,30,0,19,0,0,1412,1390,3,8,3,3,0,8,0,0,0,3,0,1850,1817,7,7,14,3,5,7,7,0,0,0,14,2093,2044,18,10,11,13,0,0,0,1570,1540,12,6,5,8,0,0,0,1709,1607,25,6,9,0,6,10,46,2255,2066,63,26,27,30,16,1709,1607,25,11,17,15,8
19099099015,1,19099099015,554,179,360,580,184,389,575,181,371,491,186,294,437,315,0,578,150,396,587,166,383,1881,1515,109,155,34,71,0,129,21,34,4,0,2134,1706,157,157,57,74,0,0,0,1920,1455,116,205,30,100,0,185,15,50,0,10,0,2116,1576,162,223,55,115,0,187,27,52,0,0,110,2095,1707,55,304,14,13,4,0,0,1883,1504,52,302,11,13,3,0,0,2066,1714,117,193,0,12,0,0,30,2259,1888,124,199,15,33,13,2066,1714,117,193,13,28,13
19069069015,4,19069069015,79,23,56,87,26,61,87,25,62,69,20,48,58,41,0,81,16,63,81,21,57,101,95,2,0,0,0,0,0,0,0,0,0,143,125,8,0,0,0,0,0,0,110,97,8,2,0,0,0,2,0,0,0,0,0,156,125,22,7,0,0,0,4,0,0,0,0,0,153,149,4,0,0,2,0,0,0,113,111,2,0,0,0,0,0,0,107,102,3,0,0,0,0,0,2,146,138,4,0,0,3,0,107,102,3,0,0,2,0
19087087010,1,19087087010,3284,1294,1880,3680,1430,2170,3593,1476,1956,2770,1230,1482,2316,1760,0,3479,1124,2208,3544,1279,1941,6850,5846,379,368,203,47,0,318,203,30,4,0,8608,6955,585,613,461,93,31,0,0,6796,5726,426,406,197,42,0,351,197,34,0,4,0,8513,6740,659,677,497,127,58,416,406,33,0,17,241,8706,7162,578,461,433,93,30,0,0,6866,5782,395,330,297,71,27,0,0,7558,6078,546,385,301,32,4,18,194,9315,7259,808,585,469,144,18,7558,6078,546,449,341,115,13
19099099018,1,19099099018,197,68,128,224,73,150,221,77,141,170,65,103,149,107,0,196,52,135,196,61,124,290,284,0,0,1,0,0,0,0,0,0,0,366,356,1,2,1,1,0,0,0,306,295,0,0,1,1,0,0,0,0,0,0,0,374,365,1,0,3,0,0,0,0,0,0,0,10,360,360,0,0,0,0,0,0,0,274,274,0,0,0,0,0,0,0,285,281,2,0,0,0,0,0,2,374,368,4,0,0,2,0,285,281,2,0,0,2,0
19069069008,4,19069069008,1640,661,943,1800,757,1009,1753,745,952,1449,610,805,1263,1005,0,1764,533,1150,1775,678,954,2903,2556,337,9,0,0,0,9,0,0,0,0,4203,3171,1021,10,0,0,0,0,0,2850,2582,234,38,0,0,0,38,0,0,0,0,0,4105,3165,902,37,0,0,0,37,0,0,0,0,0,4461,3432,958,47,24,33,4,0,0,3300,2714,551,16,16,19,3,0,0,3227,2422,715,10,18,4,0,7,51,4337,2936,1249,42,42,90,5,3227,2422,715,17,20,57,3
19069069004,4,19069069004,580,162,403,653,182,459,656,190,432,498,148,341,405,321,0,602,137,437,606,169,405,954,954,0,0,0,4,0,0,0,0,0,0,1230,1203,13,0,0,14,0,0,0,792,782,0,0,0,10,0,0,0,0,0,0,0,1083,1007,4,0,0,75,0,0,0,0,0,0,75,1172,1143,11,4,6,9,1,0,0,897,877,7,2,4,7,1,0,0,883,836,17,6,7,0,0,0,17,1130,1054,18,22,7,18,1,883,836,17,9,7,6,1
19015015012,4,19015015012,566,194,356,650,216,414,643,217,406,498,192,298,432,289,0,549,149,379,555,172,341,702,671,10,3,9,10,0,0,9,0,0,0,907,854,18,15,16,10,0,0,0,697,681,2,0,2,10,0,0,2,0,0,2,0,877,854,12,12,2,13,0,4,2,0,0,0,14,896,874,5,2,6,7,1,0,0,685,672,3,0,4,3,1,0,0,733,710,2,1,0,0,0,3,17,957,921,8,2,4,10,0,733,710,2,2,2,9,0
19169169015,4,19169169015,408,118,279,467,118,333,465,139,299,363,118,231,322,197,0,428,106,305,430,107,287,582,574,0,6,3,0,0,3,3,0,0,0,810,784,12,17,1,0,0,0,0,596,576,0,6,16,0,0,3,16,0,0,0,0,877,779,13,21,66,0,0,6,15,0,0,0,66,787,772,3,3,5,4,0,0,0,563,557,0,1,1,4,0,0,0,613,573,8,2,0,1,0,8,21,803,736,17,4,8,20,0,613,573,8,3,3,13,0
19169169109,4,19169169109,1900,1103,736,2030,1254,726,2013,1205,771,1797,1085,686,1624,1307,0,1873,892,921,1905,1101,634,2134,1904,64,27,119,10,0,27,115,0,15,0,3229,2480,171,41,527,23,0,0,0,2309,2138,95,25,34,10,0,25,30,0,0,4,0,3797,2764,286,34,699,15,0,27,694,0,0,0,25,3014,2424,65,75,436,16,2,0,0,2328,1888,48,62,328,10,2,0,0,2822,2127,120,76,398,2,1,6,92,3536,2588,158,138,586,42,5,2822,2127,120,99,431,23,4
19169169102,4,19169169102,1588,1010,500,1571,1065,462,1548,999,503,1455,1029,384,1331,1066,0,1702,876,739,1783,1057,539,3571,3194,89,128,148,11,0,55,26,0,0,0,3901,3488,87,135,181,21,0,0,0,3148,2763,58,187,127,7,0,91,70,0,0,0,0,3494,3061,61,207,162,16,0,109,102,0,0,0,163,2807,2390,108,94,202,12,1,0,0,2594,2240,89,75,184,10,0,0,0,2861,2354,188,50,125,8,0,13,123,3162,2583,219,98,231,24,58,2861,2354,188,71,220,18,53
19169169002,4,19169169002,1079,451,596,1197,500,674,1191,494,665,990,473,492,883,624,0,1095,343,708,1104,423,566,1340,1327,2,0,0,11,0,0,0,1,0,0,1862,1844,6,0,2,12,0,0,0,1277,1270,6,0,0,5,0,0,0,1,0,0,0,1763,1739,9,0,2,15,0,0,2,1,0,0,13,1758,1706,22,17,12,9,0,0,0,1270,1243,8,3,10,8,0,0,0,1360,1287,27,2,5,2,1,5,31,1869,1734,50,11,18,29,5,1360,1287,27,4,9,21,4
19169169019,4,19169169019,2029,831,1102,2463,1063,1319,2445,1043,1321,1766,788,930,1533,1079,0,1875,597,1183,1912,739,946,2595,2545,41,0,10,0,0,0,10,0,0,0,3740,3620,75,21,37,0,0,0,0,2562,2515,36,2,10,2,0,2,10,0,0,0,0,3800,3710,42,32,33,1,0,31,25,0,0,0,2,3333,3153,73,62,24,24,0,0,0,2200,2112,35,25,15,15,0,0,0,2933,2721,68,24,21,3,0,6,90,4248,3911,107,69,51,61,0,2933,2721,68,34,37,37,0
19177177020,1,19177177020,412,119,287,473,107,360,463,134,310,352,124,222,293,220,0,437,108,309,446,119,304,727,719,0,0,3,3,0,0,3,0,0,0,939,889,0,8,37,4,0,0,0,712,698,0,0,8,0,0,0,8,0,0,0,0,934,878,0,8,43,0,0,8,9,0,0,0,37,898,869,16,5,1,6,0,0,0,687,669,10,1,1,5,0,0,0,655,624,9,0,0,0,0,0,22,829,780,17,7,1,22,0,655,624,9,0,0,18,0
