GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
26039039006,1,26039039006,1011,363,612,1152,404,729,1131,404,706,938,368,534,903,294,554,942,372,525,1027,332,632,1485,1480,2,4,0,1,0,3,0,0,0,0,1890,1855,10,21,6,3,0,0,0,1604,1604,0,0,0,0,0,0,0,0,0,0,0,2041,2025,3,12,2,0,0,3,2,0,0,0,9,2099,2021,24,18,15,26,1,0,0,1648,1602,15,9,8,20,0,0,0,1650,1571,18,3,7,5,0,2,44,2114,1966,45,29,14,41,1,1650,1571,18,8,11,24,1
26047047017,1,26047047017,691,382,280,785,443,325,783,431,337,655,377,256,642,345,257,655,387,233,648,320,281,1225,1057,84,33,0,56,0,12,0,20,1,0,1482,1246,126,51,2,62,19,0,0,1053,924,72,32,1,34,0,13,1,9,0,1,0,1320,1111,126,41,4,33,13,15,1,8,12,1,47,1437,1250,39,19,13,128,2,0,0,1159,1043,20,10,10,81,2,0,0,1261,1102,30,9,3,61,0,1,55,1492,1287,41,25,8,134,2,1261,1102,30,18,4,110,2
26047047013,1,26047047013,646,211,415,661,212,437,654,217,428,626,205,402,614,192,386,628,227,382,666,187,437,1118,1002,12,0,2,95,0,0,2,69,0,0,1491,1309,23,16,16,133,0,0,0,1112,1018,8,2,2,74,0,0,2,52,0,0,0,1479,1242,19,7,16,109,0,3,3,66,0,24,118,1348,1244,13,5,5,83,0,0,0,986,925,6,2,2,51,0,0,0,1049,958,4,2,3,31,1,4,46,1295,1174,10,7,9,89,2,1049,958,4,2,7,65,2
26143143004,1,26143143004,1342,450,854,1573,525,1037,1563,545,995,1230,447,750,1187,366,753,1229,446,745,1309,411,843,2100,1995,91,0,25,2,0,0,25,0,0,0,2411,2277,86,0,46,2,0,0,0,2289,2246,31,0,10,0,0,0,10,0,0,0,0,2637,2497,33,50,28,0,0,50,28,0,0,0,30,2581,2463,35,27,18,35,4,0,0,2143,2076,24,9,10,21,4,0,0,2076,1933,35,2,7,14,0,1,84,2414,2234,50,21,20,64,1,2076,1933,35,15,8,58,0
26143143008,1,26143143008,858,321,518,975,358,604,962,368,584,789,322,452,778,267,483,787,321,447,853,282,535,1043,1013,6,14,0,8,0,14,0,1,0,0,1227,1164,4,50,0,10,0,0,0,1023,1003,3,8,0,8,0,8,0,1,0,0,0,1218,1164,2,34,0,9,0,9,0,1,0,0,37,1370,1318,14,12,5,17,0,0,0,1165,1128,11,4,2,16,0,0,0,1130,1077,15,1,0,0,1,4,32,1252,1182,16,4,1,29,3,1130,1077,15,2,1,18,1
26143143005,1,26143143005,1864,688,1137,2111,793,1291,2096,776,1306,1737,702,1015,1688,542,1077,1731,668,1029,1912,673,1155,2620,2569,35,1,0,14,0,1,0,0,0,0,2919,2860,41,2,0,14,0,0,0,2398,2337,47,2,0,14,0,2,0,0,0,0,0,2764,2691,54,4,0,16,0,2,0,0,0,0,18,2993,2899,36,20,16,24,2,0,0,2518,2453,22,13,9,22,2,0,0,2416,2293,25,4,4,10,2,8,70,2796,2615,49,26,18,65,10,2416,2293,25,14,9,47,5
26143143013,1,26143143013,1192,411,743,1298,418,868,1283,428,840,1113,431,641,1074,348,662,1110,425,646,1254,388,787,2126,2039,38,0,0,56,0,0,0,0,0,0,2721,2592,59,0,0,70,0,0,0,2145,2047,43,0,4,56,0,0,4,0,0,0,0,2705,2571,61,0,1,58,0,0,1,0,0,0,70,2546,2472,28,7,3,34,0,0,0,2085,2034,17,3,3,23,0,0,0,2052,1912,33,10,7,10,0,2,78,2463,2286,45,33,20,71,3,2052,1912,33,24,11,57,3
26137137014,1,26137137014,1703,588,1078,1936,686,1223,1919,667,1235,1587,594,971,1560,507,991,1584,584,963,1680,508,1085,2321,2261,9,8,22,4,0,0,8,2,19,0,2911,2804,24,56,43,7,0,0,0,2206,2141,17,11,13,5,0,0,0,0,0,17,0,2816,2698,17,80,38,6,0,0,0,0,0,0,106,2847,2744,50,18,10,26,0,0,0,2303,2244,27,6,5,21,0,0,0,2374,2236,22,7,5,8,0,14,82,2857,2652,33,35,18,89,5,2374,2236,22,14,14,55,2
26137137012,1,26137137012,1338,394,907,1588,464,1103,1574,461,1090,1204,389,784,1177,323,798,1210,403,769,1337,341,923,2208,2148,12,10,18,11,0,7,12,0,10,0,2830,2723,17,35,30,13,25,0,0,2149,2084,21,3,13,19,0,3,9,0,0,7,0,2753,2657,22,14,27,19,21,2,17,0,0,0,60,2619,2501,25,15,13,63,3,0,0,1942,1883,16,5,5,29,2,0,0,2121,1979,27,1,13,8,0,7,86,2725,2515,40,19,25,108,0,2121,1979,27,11,15,67,0
26039039007,1,26039039007,623,212,393,717,243,469,712,243,461,566,211,336,544,173,335,568,215,334,640,188,421,1041,1016,9,8,2,6,0,6,2,1,0,0,1271,1216,22,16,5,10,0,0,0,1153,1125,4,0,4,17,0,0,4,1,0,0,0,1393,1280,28,27,5,20,0,1,5,1,0,34,42,1388,1335,19,16,2,20,2,0,0,1136,1109,5,3,2,16,1,0,0,1067,1010,16,9,2,8,1,4,17,1268,1176,22,26,10,34,2,1067,1010,16,11,5,19,2
