GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_SenSp,Dem_2018_SenSp,Rep_2018_SenSp,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2014_Sen,Dem_2014_Sen,Rep_2014_Sen,Total_2014_AG,Dem_2014_AG,Rep_2014_AG,Total_2014_Gov,Dem_2014_Gov,Rep_2014_Gov,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
27033000050,7,27033000050,185,72,108,199,71,117,203,64,131,185,102,78,184,86,86,185,87,96,180,71,105,189,51,124,143,72,70,140,76,62,146,64,79,215,204,3,2,2,0,0,2,0,0,0,0,283,256,17,4,5,0,2,0,0,212,206,3,0,4,0,0,0,2,0,0,0,0,292,258,18,1,10,0,10,0,8,0,10,0,2,285,275,8,0,2,2,0,0,0,217,216,2,0,0,0,0,0,0,235,232,0,0,0,0,0,0,3,314,309,2,0,0,3,0,235,232,0,0,0,3,0
27033000140,7,27033000140,402,156,223,444,140,263,451,153,291,379,200,162,376,166,186,378,185,175,375,140,197,425,138,257,290,168,113,294,172,104,294,163,116,733,721,6,0,7,0,0,0,7,0,0,0,1064,902,137,6,11,2,0,0,0,732,709,3,0,21,5,0,0,21,0,0,0,0,1044,892,130,3,22,6,0,2,21,0,0,0,4,1154,983,98,26,38,5,2,0,0,878,793,50,12,18,3,2,0,0,906,699,125,27,15,1,15,5,19,1190,873,190,47,29,34,23,906,699,125,27,16,26,15
27173000140,7,27173000140,248,90,150,277,99,169,275,91,178,228,112,112,227,85,138,228,83,141,226,77,140,269,83,159,188,88,99,186,94,91,187,79,108,333,329,0,0,3,2,0,0,0,2,0,0,437,423,1,8,2,2,0,0,0,314,311,0,3,3,1,0,3,0,1,0,0,0,413,398,1,14,3,1,0,5,0,1,0,0,12,432,426,1,0,1,5,0,0,0,334,331,0,0,1,2,0,0,0,320,303,5,1,1,1,0,0,9,408,384,6,9,1,7,0,320,303,5,2,1,6,0
27173000095,7,27173000095,132,23,106,156,25,130,156,20,134,122,42,76,122,25,94,122,26,92,120,23,94,151,22,125,107,29,74,101,39,58,110,26,79,158,157,0,0,0,2,0,0,0,0,0,0,219,205,12,0,0,2,0,0,0,166,166,0,0,0,2,0,0,0,0,0,0,0,232,216,14,0,0,2,0,0,0,0,0,0,2,264,263,1,1,0,0,0,0,0,195,195,0,0,0,0,0,0,0,178,173,2,0,0,0,0,0,3,238,229,4,1,1,3,1,178,173,2,0,1,1,0
27173000045,7,27173000045,120,31,86,128,27,95,127,26,96,117,45,70,117,33,83,117,33,83,115,27,83,133,33,91,97,46,48,93,41,49,101,34,57,129,123,0,1,0,2,0,1,0,1,0,0,164,146,0,3,0,3,0,0,0,134,126,0,1,0,5,0,1,0,3,0,0,0,168,161,2,1,1,5,0,1,0,2,0,0,4,192,187,3,0,0,2,0,0,0,156,153,2,0,0,1,0,0,0,144,141,1,0,0,1,0,0,1,178,174,1,1,2,1,0,144,141,1,1,1,1,0
27173000120,7,27173000120,118,25,91,136,24,111,142,24,117,109,39,69,109,24,84,109,25,83,109,25,83,140,28,102,98,31,63,97,40,57,101,29,70,139,128,0,4,0,0,0,1,0,0,0,0,179,170,0,3,0,0,0,0,0,147,140,0,0,0,0,0,0,0,0,0,0,0,180,174,0,0,0,0,0,0,0,0,0,0,0,219,217,1,0,0,0,0,0,0,167,165,1,0,0,0,0,0,0,157,155,0,0,1,0,0,0,1,220,214,2,3,2,0,0,157,155,0,1,2,0,0
27173000020,7,27173000020,360,128,212,404,118,242,409,117,282,335,175,139,333,122,187,338,126,197,328,115,191,412,130,249,294,169,121,278,163,103,291,148,128,649,621,10,0,10,10,0,0,10,10,0,0,916,873,14,0,15,16,0,0,0,696,631,20,0,20,37,0,0,20,33,0,0,0,960,836,51,0,27,44,0,0,18,32,0,0,22,863,808,43,3,1,9,0,0,0,669,641,21,2,1,5,0,0,0,622,545,49,1,0,13,0,0,14,852,702,95,12,6,45,0,622,545,49,4,2,25,0
27173000085,7,27173000085,105,37,67,117,43,72,116,35,78,92,43,49,92,37,54,92,39,52,91,31,59,118,32,81,74,44,29,73,47,24,71,42,28,156,154,0,0,1,0,0,0,0,0,0,0,201,199,0,3,1,0,0,0,0,149,146,0,1,1,0,0,1,0,0,0,0,0,193,184,0,4,1,0,0,1,0,0,0,0,4,201,200,1,0,0,0,0,0,0,151,151,0,0,0,0,0,0,0,140,130,4,0,1,1,0,0,4,181,166,8,3,1,5,2,140,130,4,2,1,4,0
27073000165,7,27073000165,79,17,61,84,20,63,86,20,65,76,29,46,75,14,59,76,13,62,75,13,58,87,7,76,62,21,41,59,21,37,63,16,46,113,112,0,0,0,0,0,0,0,0,0,0,145,137,9,0,0,0,0,0,0,110,110,0,0,0,0,0,0,0,0,0,0,0,145,138,7,0,0,0,0,0,0,0,0,0,0,159,157,0,1,0,1,0,0,0,117,116,0,0,0,1,0,0,0,107,105,1,0,1,0,0,0,0,140,133,2,0,1,2,0,107,105,1,0,1,0,0
27073000160,7,27073000160,84,22,57,88,25,59,88,22,64,81,30,48,82,25,54,82,22,53,81,19,54,80,11,58,58,17,40,55,16,36,62,18,42,105,104,1,0,2,0,0,0,2,0,0,0,134,128,6,0,2,1,0,0,0,103,103,1,0,0,0,0,0,0,0,0,0,0,134,129,3,0,0,1,0,0,0,0,0,0,1,148,146,2,0,0,0,0,0,0,111,109,2,0,0,0,0,0,0,110,103,2,0,0,1,0,1,3,133,123,2,0,2,7,1,110,103,2,0,1,4,0
