GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2019_AG,Dem_2019_AG,Rep_2019_AG,Total_2019_Gov,Dem_2019_Gov,Rep_2019_Gov,Total_2019_LtG,Dem_2019_LtG,Rep_2019_LtG,Total_2018_SenRoff,Dem_2018_SenRoff,Rep_2018_SenRoff,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_SenSp,Dem_2018_SenSp,Rep_2018_SenSp,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
28037000102,2,28037000102,362,225,133,464,279,176,460,292,166,396,241,155,396,258,136,382,221,161,330,233,97,310,200,102,317,210,107,440,276,157,510,197,0,313,0,0,0,313,0,0,0,0,639,236,0,402,0,0,0,0,0,577,311,0,268,0,0,0,268,0,0,0,0,0,807,459,0,350,0,0,0,350,0,0,0,0,0,827,306,0,520,0,4,0,0,0,577,237,0,339,0,2,0,0,0,582,218,2,352,1,0,0,3,6,752,268,5,474,2,9,0,582,218,2,356,2,6,0
28037000103,2,28037000103,206,152,50,270,196,66,272,204,65,209,159,50,211,160,47,203,141,62,190,154,36,193,140,44,202,143,59,264,189,68,351,191,0,157,0,0,0,157,0,0,0,0,450,233,0,221,0,0,0,0,0,428,158,0,273,0,0,0,273,0,0,0,0,0,563,175,0,388,0,0,0,388,0,0,0,0,0,482,154,1,328,0,0,0,0,0,329,106,1,223,0,0,0,0,0,344,86,1,253,0,0,0,1,3,435,109,3,321,0,4,0,344,86,1,256,0,1,0
28027000004,2,28027000004,389,377,10,567,542,16,568,557,11,296,278,18,301,293,6,292,281,11,444,440,4,364,341,14,384,378,6,621,609,10,876,54,1,822,0,1,0,822,0,1,0,0,1203,74,3,1122,0,1,0,0,0,735,46,2,681,0,1,0,681,0,1,0,0,0,1053,55,6,996,0,3,0,991,0,1,0,0,0,1495,49,8,1440,3,3,0,0,0,1017,39,8,973,2,3,0,0,0,803,12,8,779,0,1,0,0,3,1178,19,9,1154,2,3,0,803,12,8,788,1,1,0
28027000001,2,28027000001,187,100,86,273,135,137,270,143,125,161,86,75,168,95,73,159,81,78,194,112,82,189,90,97,197,112,85,264,141,120,573,181,20,366,0,10,0,355,0,0,0,0,746,206,20,537,0,10,0,0,0,562,225,60,280,0,10,0,270,0,0,0,0,0,635,247,62,379,0,10,0,316,0,0,0,0,10,713,377,17,306,13,1,0,0,0,597,330,11,246,10,0,0,0,0,402,216,2,170,0,1,0,0,13,477,246,2,225,0,2,1,402,216,2,182,0,2,1
28013000004,1,28013000004,394,313,77,489,377,103,492,394,95,414,324,90,420,344,71,403,307,96,381,315,66,362,275,82,372,294,78,524,425,86,914,436,2,466,1,0,0,466,1,0,0,0,1127,539,5,586,4,0,0,0,0,830,447,2,377,0,0,0,377,0,0,0,0,0,1140,581,41,521,1,0,0,513,0,0,0,0,10,1374,651,25,686,2,9,1,0,0,1025,501,15,501,2,6,1,0,0,788,220,14,533,1,4,0,0,16,1025,298,28,679,1,20,0,788,220,14,542,1,13,0
28013000001,1,28013000001,318,39,278,441,52,388,441,59,374,325,40,285,326,56,269,325,48,277,287,33,254,310,27,275,308,39,269,392,38,347,566,525,23,24,0,0,0,24,0,0,0,0,725,665,32,28,0,0,0,0,0,689,644,25,24,0,0,0,24,0,0,0,0,0,866,800,36,28,0,0,0,28,0,0,0,0,0,847,782,13,52,1,1,0,0,0,671,627,8,36,1,1,0,0,0,688,638,12,24,1,1,0,1,11,838,773,15,38,2,12,0,688,638,12,27,1,11,0
28095000506,1,28095000506,412,399,10,561,535,18,564,547,15,391,380,11,394,387,4,386,369,17,452,448,4,380,355,24,385,371,14,566,553,10,984,191,1,792,0,0,0,792,0,0,0,0,1360,220,1,1139,0,0,0,0,0,839,218,2,627,0,0,0,627,0,0,0,0,0,1046,244,2,799,0,0,0,799,0,0,0,0,0,1405,39,1,1355,2,11,0,0,0,974,20,1,946,2,7,0,0,0,797,52,9,721,0,0,0,1,14,1052,64,15,970,1,18,0,797,52,9,733,0,7,0
28119000103,2,28119000103,149,108,40,192,137,52,191,145,41,146,97,49,154,115,38,142,97,45,150,118,32,138,91,42,141,103,38,205,150,53,266,104,1,157,1,0,0,157,1,0,0,0,321,109,2,203,3,0,0,0,0,255,98,0,155,2,0,0,155,2,0,0,0,0,294,108,0,188,3,0,0,188,3,0,0,0,0,399,89,2,309,0,2,0,0,0,286,72,2,213,0,0,0,0,0,209,52,0,146,2,0,1,0,8,256,59,0,194,2,3,1,209,52,0,154,2,2,1
28095000103,1,28095000103,67,9,57,99,9,90,98,13,83,68,12,56,69,13,54,69,10,59,64,9,55,60,10,49,59,10,49,79,9,69,157,155,3,0,0,0,0,0,0,0,0,0,214,211,3,3,0,0,0,0,0,168,168,3,0,0,0,0,0,0,0,0,0,0,222,220,3,3,0,0,0,0,0,0,0,0,0,235,232,0,2,1,0,0,0,0,186,182,0,1,1,0,0,0,0,176,169,0,5,0,0,0,0,2,233,222,0,9,0,1,0,176,169,0,6,0,1,0
28095000302,1,28095000302,186,20,166,262,17,245,263,26,230,181,26,155,182,26,156,178,20,158,153,14,139,173,14,155,170,21,149,260,20,239,503,473,0,18,4,0,0,18,4,0,0,0,640,607,0,28,5,0,0,0,0,469,439,0,24,0,0,0,24,0,0,0,0,0,629,603,0,24,0,0,0,24,0,0,0,0,0,615,603,3,3,1,7,2,0,0,485,474,3,2,1,7,2,0,0,404,392,2,2,0,0,0,0,8,538,514,5,8,0,12,0,404,392,2,2,0,8,0
