GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_AG,Dem_2020_AG,Rep_2020_AG,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_LtG,Dem_2020_LtG,Rep_2020_LtG,Total_2020_Gov,Dem_2020_Gov,Rep_2020_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Gov,Dem_2016_Gov,Rep_2016_Gov,Total_2016_AG,Dem_2016_AG,Rep_2016_AG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_LtG,Dem_2016_LtG,Rep_2016_LtG,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
29189NOR030,1,29189NOR030,396,332,57,439,355,77,441,366,69,442,362,75,442,370,64,325,282,39,366,315,42,361,311,50,369,315,44,368,311,45,366,309,44,887,278,15,587,14,0,0,583,14,0,0,0,1119,313,18,721,60,0,0,0,0,952,231,15,687,13,0,0,685,13,0,0,0,0,1197,264,19,838,72,0,0,825,14,0,0,18,59,1075,217,34,786,40,14,0,0,0,848,176,29,608,37,13,0,0,0,745,184,20,454,52,2,0,3,30,900,209,25,597,58,15,1,745,184,20,479,55,13,1
29091000002,8,29091000002,851,226,583,879,207,620,904,229,647,878,209,617,892,234,625,693,204,456,879,288,543,867,276,591,876,292,522,875,195,608,865,247,553,2063,1952,3,0,23,83,0,0,18,83,0,0,2541,2393,2,0,62,81,0,0,0,2098,2015,0,0,29,53,0,0,25,53,0,0,0,2705,2598,0,0,55,51,0,0,30,51,0,0,28,2566,2434,56,17,16,39,5,0,0,1894,1816,30,10,9,27,5,0,0,1981,1817,37,16,5,17,0,8,81,2612,2382,58,38,11,105,1,1981,1817,37,27,10,74,1
29091000018,8,29091000018,1630,287,1290,1748,255,1444,1801,310,1466,1752,290,1413,1790,304,1443,1272,270,953,1574,425,1060,1545,354,1191,1574,371,1107,1578,228,1280,1550,349,1115,3123,3032,29,0,26,37,0,0,26,17,0,0,4056,3871,107,9,30,41,0,0,0,3227,3160,33,0,1,36,0,0,1,16,0,0,0,4158,3977,110,1,4,41,0,0,4,18,0,30,24,4126,3963,72,15,17,70,5,0,0,3101,3003,33,3,12,51,3,0,0,2991,2748,56,4,11,21,2,1,148,3906,3544,94,39,24,185,9,2991,2748,56,19,15,128,3
29091000006,8,29091000006,585,94,475,637,73,556,658,90,562,643,86,544,658,94,554,467,90,367,551,146,385,540,120,420,545,134,372,556,90,445,544,124,383,735,698,13,0,6,23,0,0,6,23,0,0,924,859,30,0,15,24,0,0,0,752,718,5,0,14,15,0,0,14,15,0,0,0,943,875,9,0,23,16,0,0,21,16,0,0,20,1094,1047,14,4,2,28,3,0,0,850,814,9,4,1,23,2,0,0,859,775,14,0,0,10,0,3,57,1152,1010,28,8,9,77,3,859,775,14,2,5,48,3
29091000019,8,29091000019,1659,409,1197,1690,359,1288,1738,431,1283,1698,386,1262,1727,419,1273,1450,398,1008,1664,479,1130,1641,413,1228,1666,483,1091,1672,353,1247,1649,398,1179,2743,2611,29,3,0,100,0,3,0,1,0,0,3915,3739,62,3,14,99,0,0,0,2408,2338,22,0,0,51,0,0,0,2,0,0,0,3648,3521,49,30,0,53,0,0,0,2,0,0,82,3713,3473,76,47,51,64,1,0,0,2722,2574,49,19,34,35,1,0,0,2924,2615,63,26,43,34,3,8,132,3867,3416,116,74,69,160,10,2924,2615,63,36,55,127,9
29043000013,7,29043000013,1128,239,861,1252,233,994,1270,272,977,1253,239,994,1268,257,995,930,232,665,1033,288,720,1025,213,812,1042,274,716,1034,177,822,1029,213,784,1744,1637,3,2,31,66,0,0,0,0,0,0,2251,2132,5,12,31,73,0,0,0,1545,1473,5,0,19,48,0,0,0,0,0,0,0,1992,1905,10,0,20,59,0,0,0,0,0,0,78,1755,1681,20,7,5,43,1,0,0,1310,1263,13,3,5,27,1,0,0,1429,1317,23,3,8,11,1,3,63,1882,1732,30,10,17,80,4,1429,1317,23,5,11,66,3
29043000011,7,29043000011,1795,400,1341,2002,367,1588,2035,418,1587,1997,385,1561,2023,431,1544,1412,397,971,1652,488,1109,1625,384,1241,1648,467,1106,1645,307,1264,1633,381,1179,2582,2552,10,5,2,5,0,5,2,3,2,0,3681,3581,69,15,8,4,3,0,0,2526,2460,15,0,0,37,0,0,0,5,0,10,0,3705,3636,16,7,0,42,8,0,0,6,0,0,51,3244,3094,67,26,17,45,2,0,0,2344,2256,38,11,8,32,2,0,0,2572,2377,63,8,9,11,0,4,100,3549,3203,105,36,26,160,2,2572,2377,63,10,12,95,1
29043000015,7,29043000015,1929,358,1518,2028,299,1694,2046,334,1682,2041,322,1679,2055,339,1674,1721,396,1266,1887,501,1325,1862,427,1435,1894,470,1330,1886,348,1456,1878,385,1388,3247,3133,69,0,22,29,0,0,22,16,0,0,3916,3786,67,0,23,31,0,0,0,3086,2979,22,0,27,60,0,0,23,19,0,0,0,3671,3546,25,0,30,61,0,0,27,17,0,0,53,3584,3453,57,13,4,57,1,0,0,2708,2632,29,4,3,39,1,0,0,2980,2761,56,7,4,24,4,7,117,3848,3529,86,36,17,147,8,2980,2761,56,16,11,104,7
29043000016,7,29043000016,675,143,515,749,120,606,760,156,601,750,136,603,761,151,594,542,138,394,625,185,424,611,140,471,626,172,424,626,125,482,618,143,447,758,747,10,0,2,0,0,0,2,0,0,0,945,928,10,0,6,5,0,0,0,858,840,4,0,1,12,0,0,1,1,0,0,0,1074,1053,4,0,5,12,0,0,5,1,0,0,12,975,950,18,3,1,3,0,0,0,724,710,11,0,1,2,0,0,0,753,713,20,0,0,0,0,0,20,964,907,31,2,3,24,0,753,713,20,1,1,19,0
29189FLO022,1,29189FLO022,360,216,131,374,215,150,381,237,141,375,220,146,376,232,137,315,201,106,351,212,123,343,194,149,353,221,112,352,188,141,348,206,125,543,268,18,246,10,0,0,246,10,0,0,0,718,354,30,324,9,0,0,0,0,606,315,4,273,11,0,0,246,11,0,0,0,0,798,396,4,386,12,0,0,310,12,0,0,0,76,722,576,7,130,5,7,0,0,0,563,472,5,82,5,5,0,0,0,660,428,12,193,4,0,0,0,23,816,494,16,279,9,23,0,660,428,12,197,5,18,0
291890SF018,1,291890SF018,702,609,78,739,644,77,750,663,79,739,648,77,743,641,80,580,508,58,700,597,89,697,589,108,697,602,76,710,600,98,699,584,89,1365,434,1,932,0,1,0,931,0,0,0,0,1691,440,1,1251,6,1,0,0,0,1264,380,1,887,0,0,0,886,0,0,0,0,0,1587,379,1,1205,8,0,0,1183,0,0,0,1,21,1916,662,15,1233,4,5,1,0,0,1480,618,11,845,3,5,1,0,0,1376,310,9,1038,1,0,0,2,16,1836,327,15,1492,5,9,0,1376,310,9,1054,2,9,0
29107000021,5,29107000021,590,153,418,616,127,464,639,140,485,620,146,452,639,159,456,477,145,313,580,196,363,546,164,382,583,228,323,589,120,446,559,174,350,824,752,42,19,0,8,0,15,0,1,0,0,1129,993,94,36,0,7,0,0,0,702,665,28,4,0,9,0,0,0,1,0,0,0,922,839,46,29,0,9,0,19,0,1,0,0,17,1215,1148,23,18,7,17,4,0,0,901,858,17,8,6,10,2,0,0,870,811,14,10,0,2,0,0,33,1149,1063,25,18,7,27,1,870,811,14,11,3,22,1
29091000015,8,29091000015,677,85,578,719,76,629,738,89,643,724,84,628,735,89,632,549,75,458,653,121,513,646,117,529,658,123,501,664,72,580,649,116,509,1062,1048,15,0,0,0,0,0,0,0,0,0,1353,1339,13,0,0,13,0,0,0,1038,1023,20,0,0,0,0,0,0,0,0,0,0,1283,1266,20,0,0,19,0,0,0,0,0,0,0,1456,1414,21,8,1,15,1,0,0,1114,1088,9,6,1,12,1,0,0,1090,1016,18,0,3,5,0,1,47,1406,1311,20,5,3,45,0,1090,1016,18,1,3,39,0
29091000003,8,29091000003,2415,364,1998,2509,274,2195,2561,348,2190,2500,294,2158,2543,353,2151,2043,369,1628,2424,526,1825,2391,471,1920,2409,542,1765,2430,335,2027,2404,463,1847,3717,3610,8,31,15,44,0,31,0,37,8,0,5192,4990,22,86,53,52,0,0,0,3678,3568,9,4,18,68,0,4,2,28,0,6,0,5156,4984,22,13,58,76,0,4,22,25,0,3,90,5155,4970,72,20,36,63,4,0,0,3911,3782,46,13,25,51,4,0,0,3946,3675,50,6,19,12,6,7,171,5193,4804,79,21,42,199,10,3946,3675,50,13,25,143,9
29091000010,8,29091000010,498,84,400,536,79,451,541,97,437,532,79,443,513,86,422,411,79,320,499,125,353,489,97,392,503,111,356,498,66,411,497,93,385,800,752,15,9,0,27,0,9,0,0,0,0,1057,968,37,24,0,27,0,0,0,886,845,19,0,0,19,0,0,0,0,0,0,0,1126,1057,45,0,0,21,0,0,0,0,0,0,21,1000,967,14,3,5,14,0,0,0,770,750,8,2,2,10,0,0,0,770,731,6,2,1,5,0,0,25,962,902,9,8,5,32,1,770,731,6,3,3,25,1
