GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_LtG,Dem_2018_LtG,Rep_2018_LtG,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
32001000016,2,32001000016,398,134,234,490,199,270,360,136,190,360,117,210,362,108,230,363,119,220,413,137,236,416,128,243,735,329,33,4,9,352,0,4,5,324,0,0,1006,379,83,24,7,572,0,0,0,731,306,19,12,19,377,0,9,15,361,0,1,0,975,351,61,13,21,577,0,10,13,500,0,0,37,1012,431,90,10,14,524,7,0,0,748,356,59,5,9,351,5,0,0,866,349,59,1,6,385,1,3,62,1161,431,119,14,36,606,15,866,349,59,9,28,438,8,1164,431,119,14,36,609,15
32001000010,2,32001000010,795,137,615,931,174,738,748,146,534,749,114,581,752,121,587,753,131,588,793,136,607,794,138,595,945,762,128,0,15,43,0,0,15,24,0,0,1497,1012,419,0,18,82,0,0,0,921,736,71,0,59,37,0,0,59,31,0,12,0,1524,969,382,41,133,77,0,0,84,32,0,0,59,1317,1143,99,13,24,40,7,0,0,1009,897,64,4,18,23,5,0,0,1149,888,127,4,31,5,1,8,85,1537,1141,208,15,75,84,3,1149,888,127,7,53,57,2,1538,1142,208,15,75,84,3
32019000014,2,32019000014,1135,298,781,1675,472,1171,1193,362,738,1192,272,826,1198,304,825,1200,328,825,773,210,505,779,199,532,1855,1518,191,14,43,76,13,5,40,47,0,0,2443,1883,390,14,41,76,13,0,0,1885,1338,260,0,93,147,39,0,93,145,39,0,0,2661,1771,606,0,10,150,40,0,10,147,40,85,4,2068,1641,310,24,53,54,15,0,0,1506,1244,183,11,38,34,5,0,0,2164,1635,323,5,26,18,4,18,135,2737,1981,472,29,73,134,24,2164,1635,323,14,44,108,13,2738,1981,473,29,73,134,24
32510000109,2,32510000109,1283,526,690,1564,702,824,1266,563,647,1262,460,715,1264,521,678,1268,519,697,1172,470,622,1183,483,607,1977,1588,220,9,131,37,0,9,128,7,0,0,2437,1838,362,7,193,36,0,0,0,1929,1537,170,6,173,46,0,2,172,8,0,0,0,2469,1918,250,7,254,48,0,2,246,8,0,0,46,2440,1772,521,33,107,47,6,0,0,1861,1478,279,19,63,31,4,0,0,2128,1503,409,26,67,24,5,22,72,2655,1755,625,43,119,99,22,2128,1503,409,37,93,67,17,2659,1757,626,43,119,99,22
32510000307,2,32510000307,1495,694,677,1885,933,874,1301,650,536,1303,575,600,1303,618,592,1304,606,607,1557,699,685,1574,716,689,2953,1923,856,34,51,73,0,24,47,66,7,0,4641,2231,2100,70,91,175,23,0,0,3475,2309,993,31,46,99,0,11,40,49,0,7,0,5555,2641,2243,68,88,234,16,25,62,53,0,2,524,4925,2560,2080,59,119,182,12,0,0,3481,2004,1273,39,83,120,9,0,0,3788,1839,1556,45,111,62,1,14,160,5071,2217,2347,143,191,265,41,3788,1839,1556,85,146,191,19,5076,2218,2350,143,191,265,41
32001000019,2,32001000019,513,92,390,641,117,504,473,103,336,473,78,353,474,82,360,475,85,361,516,99,381,516,93,391,922,789,104,0,4,23,0,0,0,17,0,0,1161,959,150,0,31,23,0,0,0,991,861,107,0,4,23,0,0,0,17,0,0,0,1250,984,206,0,37,23,0,0,33,17,0,0,10,1035,902,77,9,11,44,4,0,0,833,742,51,3,7,36,3,0,0,876,694,90,9,11,17,2,3,50,1098,828,128,27,40,71,5,876,694,90,18,20,55,3,1099,829,128,27,40,71,5
32001015-09,2,32001015-09,2,0,2,3,0,3,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,4,1,0,0,0,0,4,4,0,0,0,0,0,5,4,1,0,0,0,0
32019000023,2,32019000023,622,157,425,816,230,554,550,172,339,553,130,381,556,134,379,558,146,377,643,163,409,652,160,451,1150,1038,62,0,21,33,0,0,17,0,0,0,1339,1137,106,29,61,32,0,0,0,1241,1188,27,0,27,0,0,0,23,0,0,1,0,1527,1353,44,82,129,0,1,0,34,0,0,8,88,1611,1370,148,7,35,55,4,0,0,1297,1133,97,3,22,42,4,0,0,1297,1048,120,4,15,19,1,14,76,1699,1318,179,35,43,110,10,1297,1048,120,10,24,70,5,1702,1320,179,36,43,110,10
32019000015,2,32019000015,688,240,405,898,318,556,572,224,300,568,199,327,574,204,328,574,213,338,758,258,432,759,243,448,1501,1244,112,13,70,63,0,0,69,8,0,0,1991,1593,245,13,32,65,0,0,0,1417,1187,98,65,27,38,0,0,26,38,0,0,0,2116,1726,242,67,20,37,0,0,19,37,0,21,68,1923,1418,401,31,41,40,11,0,0,1348,1035,241,17,31,29,8,0,0,1463,991,326,14,25,21,3,4,79,2000,1279,507,43,65,100,19,1463,991,326,24,48,77,10,2000,1279,507,43,65,100,19
32019000040,2,32019000040,619,171,402,789,233,523,526,153,329,520,122,353,529,132,353,527,145,344,678,202,403,687,199,440,1413,1236,155,8,2,0,10,4,0,0,0,0,1933,1520,390,9,3,0,10,0,0,1605,1080,502,8,8,8,0,4,5,8,0,0,0,2229,1313,884,9,14,9,0,4,11,9,0,0,8,1907,1321,469,21,21,87,18,0,0,1429,1065,280,13,15,59,13,0,0,1469,1039,274,11,20,21,9,9,86,1922,1287,433,26,41,119,15,1469,1039,274,19,33,70,12,1928,1291,433,26,41,119,15
