GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
45079000401,6,45079000401,318,303,12,327,312,12,330,317,13,295,277,10,293,285,8,330,314,10,328,304,19,505,20,0,482,0,0,0,482,0,0,0,0,810,21,0,788,0,0,0,0,0,582,17,0,565,0,0,0,565,0,0,0,0,0,875,18,0,857,0,0,0,857,0,0,0,0,0,430,7,11,410,0,4,0,0,0,340,7,6,325,0,4,0,0,0,584,31,2,534,0,3,0,1,13,944,38,5,899,0,5,1,584,31,2,547,0,5,0
45079000132,6,45079000132,515,498,11,590,566,11,588,575,10,329,317,7,328,317,11,652,632,9,624,577,40,979,45,1,920,1,15,0,888,1,9,0,0,1418,46,2,1357,1,29,0,0,0,1053,185,1,843,2,14,0,818,1,9,0,6,0,1274,187,2,1067,2,28,0,1032,1,10,0,0,41,1345,27,12,1297,7,20,2,0,0,967,19,5,935,5,12,0,0,0,985,34,15,911,9,1,0,0,15,1205,36,17,1147,14,16,3,985,34,15,935,9,11,1
45079000458,6,45079000458,1284,1227,46,1511,1425,68,1509,1444,54,1082,1034,26,1083,1050,32,1273,1227,24,1253,1181,57,3510,600,90,2750,30,34,10,2630,30,10,15,0,4141,604,96,3382,32,73,10,0,0,3370,535,80,2710,20,14,10,2695,20,10,10,0,0,3881,540,88,3215,21,16,11,3182,21,9,11,0,30,3391,256,96,3050,4,19,0,0,0,2680,251,64,2370,2,16,0,0,0,3167,539,179,2398,0,8,2,1,40,3678,561,242,2890,10,39,8,3167,539,179,2449,3,29,5
45079000129,6,45079000129,811,755,44,889,826,53,889,852,37,651,609,26,651,624,26,922,845,44,908,790,95,1463,217,64,1186,0,0,0,1176,0,0,0,0,2010,278,100,1630,28,0,0,0,0,1501,221,0,1263,0,10,0,1253,0,10,0,0,0,2058,265,21,1766,0,12,0,1755,0,12,0,0,11,2217,274,88,1850,16,31,3,0,0,1652,248,58,1343,9,16,1,0,0,1631,224,36,1312,12,0,3,0,44,2030,231,51,1727,18,20,8,1631,224,36,1356,15,14,8
45071000005,3,45071000005,314,265,46,348,290,58,347,293,53,266,230,30,264,229,35,326,276,44,315,256,55,882,182,0,682,0,0,0,682,0,0,19,0,1076,184,57,835,67,0,0,0,0,845,169,0,675,0,0,0,675,0,0,0,0,0,972,180,11,778,0,0,0,777,0,0,0,0,1,897,162,62,659,9,9,0,0,0,719,139,38,531,9,6,0,0,0,652,112,51,453,0,4,0,0,32,857,139,100,609,4,25,0,652,112,51,482,4,19,0
45071000020,3,45071000020,364,123,234,410,138,267,413,145,257,277,84,187,277,99,178,393,129,253,371,126,235,642,474,0,156,0,9,0,156,0,0,0,0,1290,560,448,270,0,9,0,0,0,629,432,0,183,0,16,0,183,0,0,0,0,0,1104,519,247,320,0,16,0,319,0,0,0,0,17,978,631,105,239,1,12,0,0,0,716,497,55,160,1,6,0,0,0,729,433,100,167,3,8,0,1,17,934,512,163,233,9,37,0,729,433,100,171,5,33,0
45071000001,3,45071000001,245,131,112,296,157,137,297,158,137,200,104,91,201,110,91,245,134,102,247,130,110,451,176,8,264,6,0,0,264,6,0,0,0,580,192,19,366,5,0,0,0,0,401,198,7,187,5,0,0,187,5,0,0,0,0,597,221,114,263,4,3,0,263,4,0,0,0,0,754,365,75,314,2,1,0,0,0,569,307,47,215,1,1,0,0,0,532,249,60,206,1,0,0,1,15,724,299,97,316,9,34,3,532,249,60,216,3,21,2
45071000034,3,45071000034,105,29,75,112,32,79,112,32,79,90,26,63,92,35,57,112,26,81,107,13,88,105,97,0,3,4,0,0,3,4,0,0,0,123,112,0,5,7,0,0,0,0,131,118,0,10,4,0,0,10,4,0,0,0,0,155,139,0,10,7,0,0,10,7,0,0,0,0,171,146,0,23,1,1,0,0,0,141,120,0,19,1,1,0,0,0,126,109,2,12,0,0,0,1,2,157,126,3,23,2,3,0,126,109,2,12,0,2,0
45071000040,3,45071000040,591,98,482,672,111,550,670,110,548,499,90,400,502,100,401,620,88,506,591,85,488,798,598,4,198,0,1,0,198,0,1,0,0,976,701,12,261,0,1,0,0,0,604,508,4,93,0,0,0,93,0,0,0,0,0,733,599,15,118,0,0,0,118,0,0,0,0,0,967,885,2,75,1,3,1,0,0,757,696,1,55,1,3,1,0,0,875,776,15,55,2,5,0,8,14,1083,945,23,85,3,21,1,875,776,15,62,2,14,0
45071000015,3,45071000015,1247,253,967,1505,307,1183,1512,305,1175,1063,230,814,1060,264,793,1166,209,916,1140,180,920,1576,1514,12,45,0,0,0,45,0,0,0,0,1836,1735,27,60,0,0,0,0,0,1530,1466,15,52,0,4,0,52,0,0,0,0,0,1877,1767,15,76,0,4,0,76,0,0,0,0,18,1939,1752,30,146,4,12,8,0,0,1575,1443,13,113,3,8,3,0,0,1761,1581,31,101,3,1,0,1,43,2076,1846,52,123,8,42,0,1761,1581,31,107,5,27,0
45079000448,2,45079000448,1419,862,535,1789,1159,613,1794,1172,600,1128,707,392,1125,733,392,1339,726,568,1330,656,651,1571,917,22,622,6,8,0,607,6,4,0,0,2056,1094,29,805,17,13,0,0,0,1832,872,13,942,0,3,0,921,0,0,0,0,0,2408,1082,20,1237,0,8,0,1209,0,0,0,64,35,1656,994,35,597,32,19,0,0,0,1151,719,18,388,21,13,0,0,0,2457,1124,110,1043,47,6,5,9,113,3420,1482,197,1600,109,68,11,2457,1124,110,1133,68,46,8
45079000126,2,45079000126,921,605,292,1004,687,302,1004,700,297,712,471,216,716,533,183,1042,660,304,1026,567,430,14312,7405,2551,3639,324,285,60,3329,241,10,105,0,17144,8665,3263,4414,674,373,216,0,0,14795,7335,2645,4040,448,194,75,3700,355,10,75,100,0,17608,8191,3552,5164,801,282,225,4280,494,9,124,170,788,15033,8016,2154,4054,799,314,176,0,0,13759,7469,1966,3561,739,267,164,0,0,8494,3891,1891,2039,394,75,25,11,168,10666,4832,2322,2898,597,143,82,8494,3891,1891,2191,491,120,71
45079000483,2,45079000483,1622,919,681,2017,1178,819,2021,1175,834,1343,787,519,1338,823,515,1521,839,637,1495,707,762,3093,1575,202,974,243,0,60,957,217,0,39,0,4290,2009,545,1336,379,11,99,0,0,3033,1651,184,828,218,0,94,809,188,0,94,51,0,4032,1934,436,1188,436,0,137,1009,323,0,111,0,214,3847,2132,384,1134,201,53,21,0,0,2839,1635,255,804,140,38,11,0,0,3524,1647,265,1329,149,5,10,14,105,4592,1963,412,1971,227,84,18,3524,1647,265,1405,177,53,12
45071000002,3,45071000002,644,228,399,757,290,451,761,287,464,558,208,341,568,243,324,639,206,381,624,173,432,1988,1258,16,689,24,5,0,689,24,5,0,0,2316,1305,25,898,29,5,6,0,0,2156,1288,38,810,20,6,0,810,20,6,0,0,0,2625,1428,62,1100,22,17,3,1100,19,6,0,6,4,2221,1661,93,436,26,13,3,0,0,2010,1502,77,400,26,13,3,0,0,2120,1540,257,284,7,0,0,0,32,2330,1655,291,348,15,36,1,2120,1540,257,296,11,23,0
45071000019,3,45071000019,337,96,239,382,98,283,381,97,283,270,79,186,266,78,188,373,108,258,363,105,251,572,297,0,276,0,0,0,276,0,0,0,0,719,401,5,312,0,0,0,0,0,679,222,0,455,0,0,0,455,0,0,0,0,0,786,308,2,477,0,0,0,477,0,0,0,0,0,739,525,29,178,6,1,0,0,0,582,427,21,128,5,1,0,0,0,548,399,19,109,0,2,0,4,15,679,482,26,158,0,17,0,548,399,19,114,0,15,0
45071000042,3,45071000042,750,259,477,842,286,548,840,290,541,589,216,365,590,235,355,817,267,521,809,259,515,1300,848,32,421,0,0,0,421,0,0,0,0,1863,1140,133,590,0,0,0,0,0,1560,1081,45,436,0,0,0,436,0,0,0,0,0,2066,1318,145,604,0,0,0,604,0,0,0,0,0,1535,986,128,410,2,5,1,0,0,1120,762,62,286,2,4,0,0,0,1160,789,88,262,1,1,0,1,18,1504,1013,125,351,1,15,0,1160,789,88,269,1,12,0
45079000484,2,45079000484,1310,711,573,2007,1230,745,2014,1219,781,983,514,447,988,564,424,956,425,470,922,332,563,1394,850,49,434,54,0,2,425,46,0,4,0,2102,1127,284,590,92,0,5,0,0,1677,1057,63,463,81,0,5,453,66,0,5,7,0,2465,1340,301,639,187,0,7,594,149,0,5,0,76,1464,811,145,429,77,18,6,0,0,1082,620,96,307,55,12,4,0,0,2545,1182,155,881,206,9,1,12,99,3436,1500,246,1281,365,78,6,2545,1182,155,934,234,50,4
45079000480,6,45079000480,943,848,82,1184,1076,95,1183,1086,93,796,712,58,793,729,63,867,766,77,845,715,113,1663,179,72,1402,9,0,0,1402,9,0,0,0,2578,181,302,2121,7,0,2,0,0,2104,112,64,1908,16,65,0,1843,16,0,0,0,0,3787,112,282,3408,16,67,0,3300,16,0,0,0,77,2514,323,116,2067,36,14,7,0,0,1764,278,76,1400,25,9,3,0,0,1896,312,71,1426,13,8,2,8,56,2522,372,108,2008,27,43,7,1896,312,71,1484,21,31,2
45079000102,6,45079000102,421,341,72,470,378,73,470,390,74,319,266,46,320,276,43,487,392,81,463,344,113,853,567,21,236,17,11,0,234,11,11,0,0,914,554,22,276,49,10,0,0,0,928,554,24,319,19,11,0,313,14,11,0,0,0,1067,504,27,389,89,10,0,368,84,10,0,64,10,1017,371,49,546,55,9,4,0,0,980,362,45,521,52,9,2,0,0,2333,1565,133,430,128,0,1,4,72,2394,1588,139,482,165,38,1,2333,1565,133,462,158,26,1
