state,latitude,longitude,name,authority,fips
AL,32.318231,-86.902298,Alabama,REP,1
AK,63.588753,-154.493062,Alaska,IRC,2
AZ,34.048928,-111.093731,Arizona,IRC,4
AR,35.20105,-91.831833,Arkansas,REP,5
CA,36.778261,-119.417932,California,IRC,6
CO,39.550051,-105.782067,Colorado,IRC,8
CT,41.603221,-73.087749,Connecticut,SPLIT,9
DE,38.910832,-75.52767,Delaware,DEM,10
FL,27.664827,-81.515754,Florida,REP,12
GA,32.157435,-82.907123,Georgia,REP,13
HI,19.898682,-155.665857,Hawaii,SPLIT,15
ID,44.068202,-114.742041,Idaho,IRC,16
IL,40.633125,-89.398528,Illinois,DEM,17
IN,40.551217,-85.602364,Indiana,REP,18
IA,41.878003,-93.097702,Iowa,REP,19
KS,39.011902,-98.484246,Kansas,REP,20
KY,37.839333,-84.270018,Kentucky,REP,21
LA,31.244823,-92.145024,Louisiana,SPLIT,22
ME,45.253783,-69.445469,Maine,SPLIT,23
MD,39.045755,-76.641271,Maryland,DEM,24
MA,42.407211,-71.382437,Massachusetts,DEM,25
MI,44.314844,-85.602364,Michigan,IRC,26
MN,46.729553,-94.6859,Minnesota,SPLIT,27
MS,32.354668,-89.398528,Mississippi,REP,28
MO,37.964253,-91.831833,Missouri,SPLIT,29
MT,46.879682,-110.362566,Montana,IRC,30
NE,41.492537,-99.901813,Nebraska,SPLIT,31
NV,38.80261,-116.419389,Nevada,DEM,32
NH,43.193852,-71.572395,New Hampshire,REP,33
NJ,40.058324,-74.405661,New Jersey,SPLIT,34
NM,34.97273,-105.032363,New Mexico,DEM,35
NY,43.299428,-74.217933,New York,DEM,36
NC,35.759573,-79.0193,North Carolina,REP,37
ND,47.551493,-101.002012,North Dakota,REP,38
OH,40.417287,-82.907123,Ohio,REP,39
OK,35.007752,-97.092877,Oklahoma,REP,40
OR,43.804133,-120.554201,Oregon,DEM,41
PA,41.203322,-77.194525,Pennsylvania,SPLIT,42
RI,41.580095,-71.477429,Rhode Island,DEM,44
SC,33.836081,-81.163725,South Carolina,REP,45
SD,43.969515,-99.901813,South Dakota,REP,46
TN,35.517491,-86.580447,Tennessee,REP,47
TX,31.968599,-99.901813,Texas,REP,48
UT,39.32098,-111.093731,Utah,REP,49
VT,44.558803,-72.577841,Vermont,SPLIT,50
VA,37.431573,-78.656894,Virginia,IRC,51
WA,47.751074,-120.740139,Washington,IRC,53
WV,38.597626,-80.454903,West Virginia,REP,54
WI,43.78444,-88.787868,Wisconsin,SPLIT,55
WY,43.075968,-107.290284,Wyoming,REP,56
